Genes	TCGA-02-0003-01A	TCGA-02-0033-01A	TCGA-02-0047-01A	TCGA-02-2470-01A	TCGA-02-2483-01A
AACS	-2.00496457548743	-2.48499477445843	0.850744119419305	-0.884379115511765	-1.04825292588952
FSTL1	2.81350564109843	2.46270980540998	-3.31853900867541	3.1605174972348	2.36781870463484
CREB3L1	0	0	3.23616926287875	0.379978286502254	0
RPS11	0.60623605866985	0.67612228207825	0	0	0
ELMO2	-1.24976494226846	-2.41619822138318	-2.05596118464506	0	0
PNMA1	-3.52549732324639	-5.08031777458042	-2.85577923161807	-0.3206549644367	-0.4076631935083
MMP2	4.09765336763724	1.22204232601878	-1.32849508025937	3.24774022570107	2.8344562781981
SAMD4A	-0.287688833177035	-0.337894631951214	0	0.352442576688875	0
SMARCD3	-4.17122971264812	-4.40081033973927	-3.77447583687345	0	-1.36924521442359
C9orf39	0	0.636130020390185	0.762109132501755	0.346068842746795	0.451329372075345
A4GNT	0	0.868398477940755	0.328370434067125	0	0
PKNOX2	-1.60685271647298	-1.59740350011494	-1.58541740168466	0	0
RALYL	-5.52066684409655	-5.00734436320522	-4.84249875084533	-1.80232863741954	-3.79382666956787
ERCC5	0.706577833754666	-1.17532366075026	0	0.896587711225656	1.24005693494159
ZHX3	-0.96660921723858	-0.705597912072751	-0.80976532275848	0.443345051842259	0.406326011711809
RXFP3	0	0	0	0	0
APBB2	-0.654160918902809	-0.62201351127058	-0.59524565115627	1.1197233997143	2.02773197859932
BBOX1	-2.99672506303029	-2.56224875149868	-3.13726154341182	1.9266646399885	-0.95936510002992
PRO0478	0.20001002156491	1.10338023431469	0.49705516374501	-0.29594922620623	-0.25026149718868
XDH	0	0	1.73619114869347	0	0
GCSH	-0.721264914009137	-1.94417154737593	0	0	0.654623188540175
EDN1	0	1.60804593807441	0	0	0
MTERF	0	0	0	0.913567369036905	0
PDCL3	1.06804519835669	-0.48581347087516	-0.42242524737088	1.23735027831617	1.77728855107605
CLK4	0	0	0.57443984400851	0	0
DECR1	0	0	3.0948477153009	1.20465196663244	1.35488676737247
KCNG1	-0.624572889753366	-0.500683584279466	-0.429448086935436	0	-0.699279344430236
CXCR4	3.497025852811	3.56257483914553	-0.84939858499072	3.25177709197782	2.75180852324719
SALL1	-1.23441148511848	-0.897792747007796	-1.1359329763679	1.87888362266168	2.79342412548523
PTPRR	-3.00319988438083	-2.06365256404333	-1.08295751554935	-1.10959995864859	-2.98038576786201
CADM4	-0.24074785983303	0	0	0.30436377816445	0.3712504024391
IRAK1	0.679877395955174	-2.41765839775005	0	0.647186563331635	1.29639744604658
CFHR5	0	0	0	0	0
HNRPD	0.92501983580547	-2.08125562619478	-0.66322359383355	0	1.47207529521642
TMSB10	0	0	0	0.61694538332665	0
CXCL3	0	2.83988726519399	0	0	-0.689686130241276
LMAN1	1.36150801426155	0.77545489492064	4.24637354943758	0	0
SUHW1	0	0	0	0	0
CHD8	0	-0.94470331939441	0	0.75642002988608	0.87242255433278
SUMO1	0	0.674622251041269	0	0	0.90789036331873
GP1BA	0	0.31160857750096	0	0	-0.26511219261082
OR7A10	0	0	0	0	0
DDB1	0	-1.51918241401707	-0.476848220407141	0	0
CHRNA10	0	0	0	0	0
STYK1	-0.87990395652213	0	-1.01978571837076	0	-1.63227622582868
MYO9B	0.368097958442285	0	0	0.646135830756755	0.962293548431935
EP300	0.60596010472717	-0.880068376650931	0	0.60985436971158	1.2056275365415
CCNI	-0.631287665920299	-2.10860780570471	-1.59297398340096	0	0
MMP7	3.55181837275613	7.07345379004414	0	2.12361427432915	0
CRNKL1	-0.66057370942942	0	0	1.07710032510402	1.4911874505102
C9orf45	0	0	0	-0.42414591016565	0
XAB2	-0.40538422017169	-0.35785353081594	0	0	0
RTN1	-6.60150024489711	-7.98908877327553	-8.65598407245506	-1.53624339248815	-2.09094452605825
HIC2	0.274695953998115	0	0	0	0.405360764950835
TBX10	0	0	0	0	0
UTY	0	0	0	0	0
CENPQ	0	0.499405036252369	0.71460143759688	1.21197840073161	1.89447633409892
OR2W1	0	0	0	-0.33108265626941	-0.24942859489422
ATP5G2	0	0	0.629464770470149	0	0.97454073169015
ZEB1	-1.02026721033263	-1.7211734327313	-2.36907923915539	1.5494806317515	2.22778957502497
ZG16	0	0	0.375502875068805	0	-0.180841934892985
ERG	0.740199886188464	0	-0.460319231069995	0	0.739001307137594
PARN	0	-0.832019015779109	0	1.01884459925479	0.8098043000563
SOD2	2.71114040560806	2.00213539583959	0.549096447970695	4.42846380161602	2.37235304144204
JOSD3	0	0	0	0	0
CHD9	0	0	0	0.798250442288545	1.57898976824534
ADAM5P	0	0.406870298295295	0.264374477697085	0	-0.263673965187226
STK16	0	1.18262091598678	1.10635395220192	0	0
PDE1C	0	0	0	0	-0.588791967009319
SEMA4D	0	-1.99657870098673	-2.2775435876152	-0.73866496810724	-1.45676279331485
AGPAT1	-1.52985263475968	-2.13255877533728	-0.61522151831215	0.762759459958991	0
TOB2	0	-1.29000984713378	0	1.26376541688753	1.34879741177773
BANK1	3.13642945725062	2.55733076636441	1.08421059592547	0	-0.40983620520981
MAP3K3	0.591604324222035	0	-0.283209475949125	0	0.888397487612635
MAX	0	0	0	0	0
GRM2	-0.27526044624535	0	0.53988627152863	0	-0.25422816625293
OSBPL8	0	0	0	1.28547575486383	1.41816414302353
PROSC	-0.34202380752607	-1.14436041714814	-0.651470546259429	0	0
NR4A2	-1.20621725233059	0	2.65411587956628	-1.48632846050372	0
RICS	-3.58792458380186	-3.49709374633952	-3.13423192004529	-1.23619993577911	-1.14644212527175
PIR	2.51731505186175	1.82160447143524	0	1.60101758315515	-1.34292085573037
LONP1	0	-1.84454375643076	2.24093214643822	1.19969454300298	1.54795215253395
IPO9	0	-1.72158338274282	0	0	1.21544164847028
PPCS	0.920263899607306	1.78578346687033	0	1.01970897597032	0
EVC	0.438460122037435	0.283370915310315	0.380947923760205	0.366049037121225	0
CXCL13	6.20345207072993	5.63394401628723	0	0.64283201025153	-0.23256363612569
SCYL3	0.28764083196984	0.37388699954153	0.57523101754847	0.2817772993138	0.73987743081734
KIAA1199	0	0	0	0	-2.05372952923402
SORL1	-1.40705980002772	-3.30997304739346	-3.40606179087512	0	-1.43930659802817
NAT10	0.738138419914255	-0.738430459477405	1.013050197372	0.829731533390205	1.02287269486288
CHD1	1.2158538765111	0	2.16521538348315	2.07583548834824	2.38648453056909
SYN3	-2.2275641849959	-1.85916241625839	-1.99323804336646	-1.09724051583836	0
SLC22A2	0	0	0	0	0
DMC1	0.193931967195844	0.272181142837525	0.206012281300454	0	0
SERPINF1	1.65532693360102	0	-4.95548090488631	0	-0.68087666046258
C20orf27	-0.51141588149823	-1.02069016755549	-1.00176863137113	0	0.985327910803599
OR7A17	0	0	0	0	0
RPS6KA5	-0.579293349880224	-0.965411007480824	-1.79314977637252	0	0
LHB	0	0.679283729769961	0.908961654373051	0	0
TAOK3	0	-1.0056682440113	-1.41536037262389	0.320445443114126	0.297481084111306
STK25	-1.83407041930205	-2.79560384238933	-1.95408939200737	0	0
SLC12A4	0	0.2311358956422	0	0	0
BRCA1	0.508734608038234	0.638075317040505	1.13380335636684	1.15305802750883	1.45646730710248
GBL	0	-1.66562502986832	0.80091909560852	0.82744983770618	0.983272803016639
C14orf108	-0.693045984464681	-1.79632970686683	1.16316668121603	0.40007319012525	0.471364555815589
CDC25B	0.937755797920735	-0.629734416517255	0	1.12580304362461	2.35714645045259
BMP3	0	0	0	-0.31502981339203	-0.38552716593213
MAP1LC3C	0	0.4535751555269	0.289580817439649	0.62437010659344	-0.280235462194961
TMEM180	-0.91908070677279	-0.98247866539608	-0.63387182435505	0	0
CRYGC	0	0.463723046415125	0	-0.502186675199176	-0.375921425939265
SLK	0.56364586219162	0	2.19979225356166	1.44745440809961	0.617414203621431
POU3F1	-0.346781593688455	0	0	-0.428194433140825	0
C20orf32	0	0.20277079778803	-0.25160851511715	-0.26701027554739	-0.35933074701041
USP52	0	0	0	0	1.23157478358879
HIGD1B	-0.745353032584745	0	-0.877428954704775	-1.06292298411636	0.887008373373125
USP6NL	0	0	0	0.660690069934979	1.78002346150919
