MBD2_DOWN	19	1	0.008	0	0.000	0.000	0	0	-
HTT_DOWN	149	9	0.072	9	0.072	1.000	429.5500	1162.3003	-
NCSTN_DOWN	40	0	0.000	0	0.000	-	0	0	-
PARVG_DOWN	23	6	0.048	5	0.040	0.833	938.5000	3120.1195	-
PVR_DOWN	9	0	0.000	0	0.000	-	0	0	-
HOXD10_UP	6	2	0.016	2	0.016	1.000	550.9019	1735.5944	-
KIAA0776_UP	3	2	0.016	0	0.000	0.000	0	0	-
DDX42_UP	9	0	0.000	0	0.000	-	0	0	-
CDC6_UP	86	0	0.000	0	0.000	-	0	0	-
RAPSN_DOWN	36	0	0.000	0	0.000	-	0	0	-
ENPEP_DOWN	1	23	0.184	0	0.000	0.000	0	0	-
IDE_DOWN	4	19	0.152	1	0.008	0.053	494.0000	1222.9941	-
THBS4_DOWN	33	96	0.768	96	0.768	1.000	480.8963	1432.0442	-
CNOT6L_UP	1	3	0.024	0	0.000	0.000	0	0	-
TRAF1_UP	49	1	0.008	1	0.008	1.000	293.5333	829.3206	-
TBCD_DOWN	16	0	0.000	0	0.000	-	0	0	-
H2AFJ_DOWN	3	6	0.048	4	0.032	0.667	146.7500	452.4701	-
RAB4A_DOWN	15	19	0.152	12	0.096	0.632	245.3782	654.4532	-
BET1_UP	5	25	0.200	10	0.080	0.400	96.2419	196.5183	-
YWHAH_UP	87	0	0.000	0	0.000	-	0	0	-
ABR_DOWN	19	24	0.192	13	0.104	0.542	693.0000	1828.0197	-
SS18_DOWN	2	2	0.016	0	0.000	0.000	0	0	-
OR56A4_DOWN	2	0	0.000	0	0.000	-	0	0	-
SLBP_DOWN	34	0	0.000	0	0.000	-	0	0	-
MYBL1_UP	21	0	0.000	0	0.000	-	0	0	-
SMARCC2_DOWN	73	2	0.016	2	0.016	1.000	782.6284	2096.5008	-
CD53_UP	41	6	0.048	5	0.040	0.833	297.4595	852.1526	-
KIR2DL2_DOWN	9	0	0.000	0	0.000	-	0	0	-
OR14A16_UP	2	0	0.000	0	0.000	-	0	0	-
SP3_UP	152	3	0.024	3	0.024	1.000	673.8492	2048.9599	-
USP2_UP	1	0	0.000	0	0.000	-	0	0	-
SEL1L_DOWN	1	18	0.144	2	0.016	0.111	899.0000	2648.5785	-
GDA_DOWN	1	0	0.000	0	0.000	-	0	0	-
RASGRF1_DOWN	60	0	0.000	0	0.000	-	0	0	-
PSMB1_UP	123	8	0.064	8	0.064	1.000	617.2225	1891.3775	-
HIST2H2BE_UP	8	70	0.560	15	0.120	0.214	16.0000	34.4114	-
TAS2R14_UP	1	0	0.000	0	0.000	-	0	0	-
WWTR1_DOWN	5	109	0.872	33	0.264	0.303	366.0000	965.6228	-
ADAM15_UP	31	46	0.368	45	0.360	0.978	393.3333	1179.4279	-
AKAP11_UP	2	0	0.000	0	0.000	-	0	0	-
VPS11_DOWN	3	13	0.104	2	0.016	0.154	520.3561	1495.2542	-
DNAI1_DOWN	1	0	0.000	0	0.000	-	0	0	-
IL1RAP_UP	23	56	0.448	45	0.360	0.804	378.0000	1067.0729	-
HELLS_UP	13	5	0.040	3	0.024	0.600	767.0000	2124.1414	-
CHML_DOWN	6	0	0.000	0	0.000	-	0	0	-
NDUFB3_DOWN	45	2	0.016	1	0.008	0.500	4.0000	4.8011	-
DLX1_DOWN	5	0	0.000	0	0.000	-	0	0	-
FOXD3_DOWN	1	0	0.000	0	0.000	-	0	0	-
ZNF260_UP	387	51	0.408	49	0.392	0.961	75.8333	155.7676	-
MYBL2_UP	35	34	0.272	34	0.272	1.000	453.3667	1397.0024	-
USF2_DOWN	79	0	0.000	0	0.000	-	0	0	-
USP11_UP	1	0	0.000	0	0.000	-	0	0	-
ADARB1_DOWN	1	125	1.000	6	0.048	0.048	466.5000	1147.3689	-
PDAP1_DOWN	1	0	0.000	0	0.000	-	0	0	-
PTK2B_DOWN	213	13	0.104	13	0.104	1.000	435.2195	1432.7824	-
DRG1_DOWN	1	0	0.000	0	0.000	-	0	0	-
TAF1L_DOWN	12	0	0.000	0	0.000	-	0	0	-
DAAM2_DOWN	4	122	0.976	13	0.104	0.107	543.0000	1509.0680	-
MAML3_UP	13	12	0.096	5	0.040	0.417	601.0000	1791.8882	-
SSH2_DOWN	2	0	0.000	0	0.000	-	0	0	-
OR10S1_UP	4	0	0.000	0	0.000	-	0	0	-
ACAN_DOWN	18	0	0.000	0	0.000	-	0	0	-
TBCC_UP	15	5	0.040	2	0.016	0.400	24.1250	55.5609	-
STXBP6_DOWN	2	112	0.896	9	0.072	0.080	436.9524	1176.8020	-
PEX1_UP	2	8	0.064	2	0.016	0.250	4.0000	7.4414	-
DKK2_DOWN	5	0	0.000	0	0.000	-	0	0	-
HSPA2_UP	31	0	0.000	0	0.000	-	0	0	-
BRWD1_UP	1	2	0.016	0	0.000	0.000	0	0	-
JUN_UP	359	0	0.000	0	0.000	-	0	0	-
FADS2_DOWN	4	37	0.296	6	0.048	0.162	685.0000	2087.6025	-
RPL27A_DOWN	94	2	0.016	2	0.016	1.000	33.6364	50.7516	-
UCP1_DOWN	12	0	0.000	0	0.000	-	0	0	-
TPR_UP	85	6	0.048	5	0.040	0.833	334.0000	1010.3681	-
CEP76_DOWN	66	0	0.000	0	0.000	-	0	0	-
CNOT6_DOWN	7	0	0.000	0	0.000	-	0	0	-
SGCZ_UP	1	0	0.000	0	0.000	-	0	0	-
NTN1_DOWN	7	103	0.824	95	0.760	0.922	464.6667	1359.7585	-
NOS2_DOWN	39	0	0.000	0	0.000	-	0	0	-
SIRT6_UP	1	87	0.696	2	0.016	0.023	2.0000	4.0408	-
SHD_DOWN	1	0	0.000	0	0.000	-	0	0	-
RNF19A_DOWN	6	23	0.184	16	0.128	0.696	382.4762	1046.0261	-
FUBP3_UP	2	0	0.000	0	0.000	-	0	0	-
TNFSF8_DOWN	1	0	0.000	0	0.000	-	0	0	-
RAB15_UP	4	58	0.464	28	0.224	0.483	485.3750	1322.9475	-
ZNF585B_DOWN	386	21	0.168	21	0.168	1.000	71.0000	146.2122	-
UNC13C_DOWN	1	0	0.000	0	0.000	-	0	0	-
SF3A2_UP	109	28	0.224	22	0.176	0.786	129.0357	314.1919	-
GAB2_DOWN	98	86	0.688	85	0.680	0.988	408.5000	1183.6698	-
SRP54_UP	24	17	0.136	16	0.128	0.941	440.3571	1233.3396	-
NPAS2_DOWN	23	16	0.128	16	0.128	1.000	436.3148	1192.2749	-
CHRNB2_DOWN	8	0	0.000	0	0.000	-	0	0	-
SYT4_UP	1	0	0.000	0	0.000	-	0	0	-
STX8_UP	11	0	0.000	0	0.000	-	0	0	-
CPD_UP	1	55	0.440	21	0.168	0.382	469.6923	1419.1591	-
NEF3_UP	6	0	0.000	0	0.000	-	0	0	-
HIATL1_DOWN	2	0	0.000	0	0.000	-	0	0	-
SCG3_UP	2	0	0.000	0	0.000	-	0	0	-
ATP5E_UP	14	1	0.008	0	0.000	0.000	0	0	-
ACHE_DOWN	7	0	0.000	0	0.000	-	0	0	-
GLG1_UP	2	1	0.008	0	0.000	0.000	0	0	-
ESRRB_UP	7	0	0.000	0	0.000	-	0	0	-
A2M_UP	32	0	0.000	0	0.000	-	0	0	-
EYA3_DOWN	7	0	0.000	0	0.000	-	0	0	-
BPY2_DOWN	1	0	0.000	0	0.000	-	0	0	-
OR2F1_UP	5	0	0.000	0	0.000	-	0	0	-
SNRPE_DOWN	156	0	0.000	0	0.000	-	0	0	-
CCRK_UP	2	0	0.000	0	0.000	-	0	0	-
KEAP1_DOWN	7	0	0.000	0	0.000	-	0	0	-
ARL2_DOWN	4	38	0.304	11	0.088	0.289	471.0000	1315.4629	-
DSN1_UP	77	62	0.496	50	0.400	0.806	26.0000	49.2774	-
MRPL34_DOWN	1	0	0.000	0	0.000	-	0	0	-
IGHA1_DOWN	18	0	0.000	0	0.000	-	0	0	-
SCNN1G_UP	5	47	0.376	24	0.192	0.511	313.7500	830.0406	-
SF3B5_DOWN	108	0	0.000	0	0.000	-	0	0	-
ZNF329_DOWN	386	19	0.152	19	0.152	1.000	71.0000	172.8991	-
NF1_UP	27	7	0.056	7	0.056	1.000	385.5000	1165.3285	-
PXDN_DOWN	1	82	0.656	2	0.016	0.024	514.0000	1609.4340	-
HCK_UP	95	17	0.136	17	0.136	1.000	325.3077	873.7291	-
PPP2R1B_DOWN	27	0	0.000	0	0.000	-	0	0	-
FBN1_DOWN	14	92	0.736	92	0.736	1.000	462.9243	1373.9996	-
HTR3B_UP	1	0	0.000	0	0.000	-	0	0	-
HRC_UP	1	0	0.000	0	0.000	-	0	0	-
NMUR1_UP	2	0	0.000	0	0.000	-	0	0	-
CD274_DOWN	1	0	0.000	0	0.000	-	0	0	-
MAN2C1_UP	4	7	0.056	0	0.000	0.000	0	0	-
SAA1_DOWN	4	61	0.488	12	0.096	0.197	650.2500	1900.4478	-
NDE1_DOWN	139	78	0.624	70	0.560	0.897	39.6696	84.6034	-
PILRA_UP	3	14	0.112	1	0.008	0.071	662.0000	1856.0959	-
RAD21_DOWN	18	10	0.080	8	0.064	0.800	371.7857	987.2865	-
MALT1_DOWN	18	0	0.000	0	0.000	-	0	0	-
EHD4_UP	2	7	0.056	7	0.056	1.000	587.1364	2019.2733	-
ITGA10_UP	113	1	0.008	1	0.008	1.000	264.2857	645.9429	-
