RPS26	0.032	0.000	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
NDUFA1	0.026	0.000	0.003	0.023	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
DARC	0.058	0.003	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
ZNF642	0.003	0.003	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
TAS1R2	0.023	0.003	0.003	0.016	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
FGF23	0.113	0.006	0.000	0.106	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
CAMK4	0.052	0.010	0.029	0.013	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
CXCR4	0.016	0.000	0.003	0.013	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
CEBPD	0.055	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
MAPKAPK2	0.055	0.000	0.000	0.055	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
MAN1C1	0.013	0.000	0.003	0.010	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
GNG8	0.023	0.000	0.013	0.010	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
TRAPPC3	0.077	0.000	0.003	0.074	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
PNMA1	0.023	0.003	0.003	0.016	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
TIMM50	0.126	0.000	0.010	0.116	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
CLDN23	0.068	0.000	0.061	0.006	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
OSMR	0.084	0.006	0.000	0.077	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
NSUN2	0.123	0.003	0.000	0.123	0.003	0.000	0.000	0.000	0.000	0.000	-	-	0	0
ZNF616	0.035	0.000	0.013	0.023	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
NFE2L3	0.039	0.003	0.006	0.029	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
VEGFB	0.013	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
EMP3	0.019	0.000	0.010	0.010	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
COL4A6	0.032	0.016	0.006	0.010	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
GNG10	0.013	0.000	0.006	0.006	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
AIFM1	0.032	0.006	0.006	0.019	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
RELA	0.029	0.003	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
ULBP3	0.023	0.000	0.016	0.006	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
CLK4	0.035	0.003	0.006	0.026	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
BCL2L2	0.032	0.000	0.006	0.026	0.000	0.000	0.000	0.000	0.000	0.000	-	-	0	0
