MBD2_DOWN	19	24	0.095	6	0.024	0.250	7.7500	11.4567	-
HTT_DOWN	149	2	0.008	1	0.004	0.500	2.0000	1.0679	-
NCSTN_DOWN	40	18	0.071	9	0.036	0.500	27.0000	54.1190	-
PARVG_DOWN	23	0	0.000	0	0.000	-	0	0	-
PVR_DOWN	9	0	0.000	0	0.000	-	0	0	-
HOXD10_UP	6	0	0.000	0	0.000	-	0	0	-
KIAA0776_UP	3	0	0.000	0	0.000	-	0	0	-
DDX42_UP	9	0	0.000	0	0.000	-	0	0	-
CDC6_UP	86	14	0.056	9	0.036	0.643	18.0000	31.5167	-
RAPSN_DOWN	36	0	0.000	0	0.000	-	0	0	-
ENPEP_DOWN	1	0	0.000	0	0.000	-	0	0	-
IDE_DOWN	4	51	0.202	1	0.004	0.020	2.0000	4.2181	-
THBS4_DOWN	33	0	0.000	0	0.000	-	0	0	-
CNOT6L_UP	1	5	0.020	1	0.004	0.200	5.0000	6.5129	-
TRAF1_UP	49	9	0.036	5	0.020	0.556	18.3333	33.2325	-
TBCD_DOWN	16	0	0.000	0	0.000	-	0	0	-
H2AFJ_DOWN	3	1	0.004	0	0.000	0.000	0	0	-
RAB4A_DOWN	15	0	0.000	0	0.000	-	0	0	-
BET1_UP	5	0	0.000	0	0.000	-	0	0	-
YWHAH_UP	87	9	0.036	7	0.028	0.778	25.3333	64.9500	-
ABR_DOWN	19	0	0.000	0	0.000	-	0	0	-
SS18_DOWN	2	0	0.000	0	0.000	-	0	0	-
OR56A4_DOWN	2	0	0.000	0	0.000	-	0	0	-
SLBP_DOWN	34	0	0.000	0	0.000	-	0	0	-
MYBL1_UP	21	0	0.000	0	0.000	-	0	0	-
SMARCC2_DOWN	73	1	0.004	0	0.000	0.000	0	0	-
CD53_UP	41	73	0.290	27	0.107	0.370	11.5000	23.1644	-
KIR2DL2_DOWN	9	0	0.000	0	0.000	-	0	0	-
OR14A16_UP	2	0	0.000	0	0.000	-	0	0	-
SP3_UP	152	0	0.000	0	0.000	-	0	0	-
USP2_UP	1	5	0.020	0	0.000	0.000	0	0	-
SEL1L_DOWN	1	1	0.004	0	0.000	0.000	0	0	-
GDA_DOWN	1	189	0.750	9	0.036	0.048	16.0000	39.3259	-
RASGRF1_DOWN	60	0	0.000	0	0.000	-	0	0	-
PSMB1_UP	123	28	0.111	18	0.071	0.643	35.5000	57.8846	-
HIST2H2BE_UP	8	47	0.187	0	0.000	0.000	0	0	-
TAS2R14_UP	1	0	0.000	0	0.000	-	0	0	-
WWTR1_DOWN	5	52	0.206	3	0.012	0.058	3.0000	5.1245	-
ADAM15_UP	31	205	0.813	82	0.325	0.400	5.0000	7.6955	-
AKAP11_UP	2	0	0.000	0	0.000	-	0	0	-
VPS11_DOWN	3	14	0.056	2	0.008	0.143	4.0000	4.8570	-
DNAI1_DOWN	1	0	0.000	0	0.000	-	0	0	-
IL1RAP_UP	23	6	0.024	2	0.008	0.333	15.0000	33.3166	-
HELLS_UP	13	0	0.000	0	0.000	-	0	0	-
CHML_DOWN	6	2	0.008	0	0.000	0.000	0	0	-
NDUFB3_DOWN	45	7	0.028	3	0.012	0.429	14.5000	20.5451	-
DLX1_DOWN	5	0	0.000	0	0.000	-	0	0	-
FOXD3_DOWN	1	0	0.000	0	0.000	-	0	0	-
ZNF260_UP	387	36	0.143	25	0.099	0.694	40.0000	60.1650	-
MYBL2_UP	35	5	0.020	4	0.016	0.800	22.0000	52.3263	-
USF2_DOWN	79	0	0.000	0	0.000	-	0	0	-
USP11_UP	1	0	0.000	0	0.000	-	0	0	-
ADARB1_DOWN	1	2	0.008	1	0.004	0.500	2.0000	4.4231	-
PDAP1_DOWN	1	0	0.000	0	0.000	-	0	0	-
PTK2B_DOWN	213	14	0.056	13	0.052	0.929	50.5000	105.7080	-
DRG1_DOWN	1	1	0.004	0	0.000	0.000	0	0	-
TAF1L_DOWN	12	0	0.000	0	0.000	-	0	0	-
DAAM2_DOWN	4	229	0.909	25	0.099	0.109	17.0000	36.8035	-
MAML3_UP	13	35	0.139	3	0.012	0.086	43.0000	107.8307	-
SSH2_DOWN	2	41	0.163	1	0.004	0.024	72.0000	156.1041	-
OR10S1_UP	4	0	0.000	0	0.000	-	0	0	-
ACAN_DOWN	18	0	0.000	0	0.000	-	0	0	-
TBCC_UP	15	2	0.008	0	0.000	0.000	0	0	-
STXBP6_DOWN	2	7	0.028	0	0.000	0.000	0	0	-
PEX1_UP	2	1	0.004	0	0.000	0.000	0	0	-
DKK2_DOWN	5	0	0.000	0	0.000	-	0	0	-
HSPA2_UP	31	8	0.032	3	0.012	0.375	9.0000	15.1640	-
BRWD1_UP	1	1	0.004	0	0.000	0.000	0	0	-
JUN_UP	359	0	0.000	0	0.000	-	0	0	-
FADS2_DOWN	4	208	0.825	14	0.056	0.067	28.0000	76.1239	-
RPL27A_DOWN	94	0	0.000	0	0.000	-	0	0	-
UCP1_DOWN	12	0	0.000	0	0.000	-	0	0	-
TPR_UP	85	0	0.000	0	0.000	-	0	0	-
CEP76_DOWN	66	16	0.063	7	0.028	0.438	22.0000	36.8340	-
CNOT6_DOWN	7	0	0.000	0	0.000	-	0	0	-
SGCZ_UP	1	0	0.000	0	0.000	-	0	0	-
NTN1_DOWN	7	4	0.016	1	0.004	0.250	9.5000	36.2414	-
NOS2_DOWN	39	0	0.000	0	0.000	-	0	0	-
SIRT6_UP	1	36	0.143	0	0.000	0.000	0	0	-
SHD_DOWN	1	0	0.000	0	0.000	-	0	0	-
RNF19A_DOWN	6	24	0.095	2	0.008	0.083	11.5000	19.8354	-
FUBP3_UP	2	3	0.012	1	0.004	0.333	2.0000	2.3890	-
TNFSF8_DOWN	1	0	0.000	0	0.000	-	0	0	-
RAB15_UP	4	2	0.008	0	0.000	0.000	0	0	-
ZNF585B_DOWN	386	44	0.175	35	0.139	0.795	57.8947	96.0838	-
UNC13C_DOWN	1	0	0.000	0	0.000	-	0	0	-
SF3A2_UP	109	5	0.020	4	0.016	0.800	34.9667	48.5965	-
GAB2_DOWN	98	35	0.139	20	0.079	0.571	37.4167	81.2096	-
SRP54_UP	24	0	0.000	0	0.000	-	0	0	-
NPAS2_DOWN	23	0	0.000	0	0.000	-	0	0	-
CHRNB2_DOWN	8	0	0.000	0	0.000	-	0	0	-
SYT4_UP	1	2	0.008	0	0.000	0.000	0	0	-
STX8_UP	11	25	0.099	2	0.008	0.080	14.5000	25.9424	-
CPD_UP	1	108	0.429	7	0.028	0.065	6.0000	8.4500	-
NEF3_UP	6	0	0.000	0	0.000	-	0	0	-
HIATL1_DOWN	2	35	0.139	0	0.000	0.000	0	0	-
SCG3_UP	2	2	0.008	0	0.000	0.000	0	0	-
ATP5E_UP	14	37	0.147	3	0.012	0.081	9.0000	14.2220	-
ACHE_DOWN	7	85	0.337	5	0.020	0.059	42.0000	130.6202	-
GLG1_UP	2	0	0.000	0	0.000	-	0	0	-
ESRRB_UP	7	0	0.000	0	0.000	-	0	0	-
A2M_UP	32	51	0.202	16	0.063	0.314	12.7500	25.7505	-
EYA3_DOWN	7	45	0.179	9	0.036	0.200	3.0000	4.0127	-
BPY2_DOWN	1	0	0.000	0	0.000	-	0	0	-
OR2F1_UP	5	0	0.000	0	0.000	-	0	0	-
SNRPE_DOWN	156	0	0.000	0	0.000	-	0	0	-
CCRK_UP	2	0	0.000	0	0.000	-	0	0	-
KEAP1_DOWN	7	2	0.008	0	0.000	0.000	0	0	-
ARL2_DOWN	4	17	0.067	1	0.004	0.059	2.0000	1.1272	-
DSN1_UP	77	5	0.020	2	0.008	0.400	14.1250	25.5571	-
MRPL34_DOWN	1	76	0.302	3	0.012	0.039	2.0000	1.5095	-
IGHA1_DOWN	18	0	0.000	0	0.000	-	0	0	-
SCNN1G_UP	5	3	0.012	0	0.000	0.000	0	0	-
SF3B5_DOWN	108	8	0.032	3	0.012	0.375	22.0000	26.9343	-
ZNF329_DOWN	386	2	0.008	2	0.008	1.000	67.5000	103.8770	-
NF1_UP	27	0	0.000	0	0.000	-	0	0	-
PXDN_DOWN	1	0	0.000	0	0.000	-	0	0	-
