sample_id	gene_symbol	type
0	CDKN2A	MUTATED
0	HDAC1	EXPLAINED
0	MYC	EXPLAINED
0	PIK3R1	EXPLAINED
0	CDKN2B	MUTATED
0	MYC	EXPLAINED
0	JARID1D	MUTATED
0	NF1	MUTATED
0	RRAS	EXPLAINED
0	PTEN	MUTATED
0	SYNJ1	EXPLAINED
0	TF	EXPLAINED
0	TP53	MUTATED
0	TYMS	EXPLAINED
0	TRGV3	MUTATED
0	ZNF431	MUTATED
0	ZNF91	EXPLAINED
1	AGT	MUTATED
1	CCR5	EXPLAINED
1	CXCR4	EXPLAINED
1	DNM1	EXPLAINED
1	GABRA1	EXPLAINED
1	GABRA2	EXPLAINED
1	GABRB1	EXPLAINED
1	GABRG2	EXPLAINED
1	GNAO1	EXPLAINED
1	GNAZ	EXPLAINED
1	GNG3	EXPLAINED
1	HCK	EXPLAINED
1	ITGB2	EXPLAINED
1	LCK	EXPLAINED
1	LCP2	EXPLAINED
1	NSF	EXPLAINED
1	PAK3	EXPLAINED
1	PIK3R1	EXPLAINED
1	PLCG2	EXPLAINED
1	PPP3CA	EXPLAINED
1	PPP3R1	EXPLAINED
1	PRKACB	EXPLAINED
1	PRKAR2B	EXPLAINED
1	PTPRC	EXPLAINED
1	PTPRCAP	EXPLAINED
1	RAC2	EXPLAINED
1	RGS13	EXPLAINED
1	RGS17	EXPLAINED
1	RGS4	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SH3GL2	EXPLAINED
1	SHC3	EXPLAINED
1	SNAP25	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	STX1A	EXPLAINED
1	STXBP1	EXPLAINED
1	SYT1	EXPLAINED
1	TAP1	EXPLAINED
1	TIMP1	EXPLAINED
1	TNFAIP8	EXPLAINED
1	TRAF3IP3	EXPLAINED
1	TRIM22	EXPLAINED
1	TUBB4	EXPLAINED
1	UCHL1	EXPLAINED
1	UCP2	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	AKAP6	MUTATED
1	RYR2	EXPLAINED
1	RYR3	EXPLAINED
1	ANAPC4	MUTATED
1	BUB1B	EXPLAINED
1	CCNB1	EXPLAINED
1	CCNB2	EXPLAINED
1	CDC2	EXPLAINED
1	CDC20	EXPLAINED
1	CDK4	EXPLAINED
1	CDK5	EXPLAINED
1	CIT	EXPLAINED
1	MAD2L1	EXPLAINED
1	MAPK13	EXPLAINED
1	MAPT	EXPLAINED
1	MCM2	EXPLAINED
1	MCM5	EXPLAINED
1	MEF2C	EXPLAINED
1	MYC	EXPLAINED
1	NCF2	EXPLAINED
1	NEFH	EXPLAINED
1	NEFL	EXPLAINED
1	NEFM	EXPLAINED
1	PBK	EXPLAINED
1	PIN1	EXPLAINED
1	PSMB8	EXPLAINED
1	PSMB9	EXPLAINED
1	PTPRR	EXPLAINED
1	RAC2	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	RRM2	EXPLAINED
1	S100B	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	STXBP1	EXPLAINED
1	SYT1	EXPLAINED
1	TIMP1	EXPLAINED
1	TRIM22	EXPLAINED
1	TYMS	EXPLAINED
1	UBE2C	EXPLAINED
1	UCHL1	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAM1	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	ZWINT	EXPLAINED
1	ARHGAP9	MUTATED
1	RAC2	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	TIMP1	EXPLAINED
1	TRIM22	EXPLAINED
1	UCHL1	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	CDK4	MUTATED
1	CDK5	EXPLAINED
1	CKS2	EXPLAINED
1	HDAC1	EXPLAINED
1	MAPK10	EXPLAINED
1	MAPK13	EXPLAINED
1	MAPT	EXPLAINED
1	MCM2	EXPLAINED
1	MCM5	EXPLAINED
1	MEF2C	EXPLAINED
1	MELK	EXPLAINED
1	MYC	EXPLAINED
1	NCF2	EXPLAINED
1	NEFH	EXPLAINED
1	NEFL	EXPLAINED
1	NEFM	EXPLAINED
1	PBK	EXPLAINED
1	PCNA	EXPLAINED
1	PIN1	EXPLAINED
1	PTPRR	EXPLAINED
1	RAC2	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	RRM2	EXPLAINED
1	S100B	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	STXBP1	EXPLAINED
1	SYT1	EXPLAINED
1	TIMP1	EXPLAINED
1	TRIM22	EXPLAINED
1	TYMS	EXPLAINED
1	UCHL1	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAM1	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	ZWINT	EXPLAINED
1	CTDSP2	MUTATED
1	CYP27B1	MUTATED
1	DCTN2	MUTATED
1	PRKAR2B	EXPLAINED
1	TUBB4	EXPLAINED
1	DDIT3	MUTATED
1	MAPK13	EXPLAINED
1	MAPT	EXPLAINED
1	MEF2C	EXPLAINED
1	MYC	EXPLAINED
1	NCF2	EXPLAINED
1	NEFH	EXPLAINED
1	NEFL	EXPLAINED
1	NEFM	EXPLAINED
1	PBK	EXPLAINED
1	PIN1	EXPLAINED
1	PTPRR	EXPLAINED
1	RAC2	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	S100B	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	STXBP1	EXPLAINED
1	SYT1	EXPLAINED
1	TIMP1	EXPLAINED
1	TRIM22	EXPLAINED
1	UCHL1	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAM1	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	DTX3	MUTATED
1	EGFR	MUTATED
1	EPS8	EXPLAINED
1	ERBB4	EXPLAINED
1	FGF12	EXPLAINED
1	FGF13	EXPLAINED
1	FGF14	EXPLAINED
1	FGF9	EXPLAINED
1	HCK	EXPLAINED
1	HDAC1	EXPLAINED
1	IRF1	EXPLAINED
1	IRF8	EXPLAINED
1	ITGB2	EXPLAINED
1	JUP	EXPLAINED
1	KRT17	EXPLAINED
1	KRT18	EXPLAINED
1	KRT19	EXPLAINED
1	KRT5	EXPLAINED
1	KRT8	EXPLAINED
1	LAMB1	EXPLAINED
1	LAMB3	EXPLAINED
1	LAMC1	EXPLAINED
1	LCK	EXPLAINED
1	LCP2	EXPLAINED
1	MMP1	EXPLAINED
1	MMP12	EXPLAINED
1	MMP2	EXPLAINED
1	MMP7	EXPLAINED
1	MMP9	EXPLAINED
1	MUC1	EXPLAINED
1	MYC	EXPLAINED
1	NCF2	EXPLAINED
1	NID1	EXPLAINED
1	PAK3	EXPLAINED
1	PAK6	EXPLAINED
1	PDGFC	EXPLAINED
1	PIK3R1	EXPLAINED
1	PLAU	EXPLAINED
1	PLCG2	EXPLAINED
1	PPP3CA	EXPLAINED
1	PPP3R1	EXPLAINED
1	PRKACB	EXPLAINED
1	PRKAR2B	EXPLAINED
1	PTPRC	EXPLAINED
1	PTPRCAP	EXPLAINED
1	RAC2	EXPLAINED
1	RAP1GAP	EXPLAINED
1	RGS13	EXPLAINED
1	RGS17	EXPLAINED
1	RGS4	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	SELL	EXPLAINED
1	SERPINE2	EXPLAINED
1	SFN	EXPLAINED
1	SH3GL2	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	SV2A	EXPLAINED
1	SV2B	EXPLAINED
1	TAP1	EXPLAINED
1	TFPI	EXPLAINED
1	TIMP1	EXPLAINED
1	TNC	EXPLAINED
1	TNFAIP8	EXPLAINED
1	TRAF3IP3	EXPLAINED
1	TRIM22	EXPLAINED
1	TUBB4	EXPLAINED
1	UCHL1	EXPLAINED
1	UCP2	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAM1	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	ELMO1	MUTATED
1	HCK	EXPLAINED
1	ITGB2	EXPLAINED
1	LCP2	EXPLAINED
1	MSN	EXPLAINED
1	PAK3	EXPLAINED
1	PIK3R1	EXPLAINED
1	PLCG2	EXPLAINED
1	PPP3CA	EXPLAINED
1	PPP3R1	EXPLAINED
1	PRKACB	EXPLAINED
1	PRKAR2B	EXPLAINED
1	PTPRC	EXPLAINED
1	PTPRCAP	EXPLAINED
1	RAC2	EXPLAINED
1	RGS13	EXPLAINED
1	RGS17	EXPLAINED
1	RGS4	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	SRGN	EXPLAINED
1	STAT1	EXPLAINED
1	TAP1	EXPLAINED
1	TIMP1	EXPLAINED
1	TNFAIP8	EXPLAINED
1	TRAF3IP3	EXPLAINED
1	TRIM22	EXPLAINED
1	TUBB4	EXPLAINED
1	UCHL1	EXPLAINED
1	UCP2	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAM1	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	EPHA7	MUTATED
1	HCK	EXPLAINED
1	ITGB2	EXPLAINED
1	LCK	EXPLAINED
1	LCP2	EXPLAINED
1	PAK3	EXPLAINED
1	PIK3R1	EXPLAINED
1	PLCG2	EXPLAINED
1	PPP3CA	EXPLAINED
1	PPP3R1	EXPLAINED
1	PRKACB	EXPLAINED
1	PRKAR2B	EXPLAINED
1	PTPRC	EXPLAINED
1	PTPRCAP	EXPLAINED
1	RAC2	EXPLAINED
1	RGS13	EXPLAINED
1	RGS17	EXPLAINED
1	RGS4	EXPLAINED
1	RHOB	EXPLAINED
1	RHOH	EXPLAINED
1	RICS	EXPLAINED
1	SELL	EXPLAINED
1	SFN	EXPLAINED
1	SHC3	EXPLAINED
1	SNCA	EXPLAINED
1	SNCB	EXPLAINED
1	SRGAP3	EXPLAINED
1	STAT1	EXPLAINED
1	TAP1	EXPLAINED
1	TIMP1	EXPLAINED
1	TNFAIP8	EXPLAINED
1	TRAF3IP3	EXPLAINED
1	TRIM22	EXPLAINED
1	TUBB4	EXPLAINED
1	UCHL1	EXPLAINED
1	UCP2	EXPLAINED
1	VAMP2	EXPLAINED
1	VAMP8	EXPLAINED
1	VCAN	EXPLAINED
1	VIP	EXPLAINED
1	WASF1	EXPLAINED
1	WASF3	EXPLAINED
1	YWHAH	EXPLAINED
1	GLI1	MUTATED
1	GNAO1	EXPLAINED
1	GNAZ	EXPLAINED
1	HDAC1	EXPLAINED
1	LMO3	EXPLAINED
1	PRKACB	EXPLAINED
1	PRKAR2B	EXPLAINED
1	TUBB4	EXPLAINED
1	WNT5A	EXPLAINED
1	GSTM1	MUTATED
1	HLA-DRB1	MUTATED
1	HLA-F	EXPLAINED
1	ICAM3	EXPLAINED
1	IGHM	EXPLAINED
1	IGKC	EXPLAINED
1	IGKV1-5	EXPLAINED
1	IGLV3-25	EXPLAINED
1	ITGB2	EXPLAINED
1	LCK	EXPLAINED
1	LCP2	EXPLAINED
1	LILRB1	EXPLAINED
1	MBP	EXPLAINED
1	MOG	EXPLAINED
1	MSN	EXPLAINED
1	PAK3	EXPLAINED
1	PIK3R1	EXPLAINED
