GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ADORA1	AMPL	616.099	6.988	0.009	0.009	NA	NA
CDKN2A	DEL	616.099	193.770	0.454	0.470	NA	NA
CNTN2	AMPL	616.099	8.725	0.018	0.018	NA	NA
MDM2	AMPL	616.099	35.160	0.058	0.076	NA	NA
MDM4	AMPL	616.099	12.338	0.021	0.037	NA	NA
RABIF	AMPL	616.099	2.527	0.006	0.006	NA	NA
MYOG	AMPL	616.099	1.891	0.006	0.006	NA	NA
PIK3C2B	AMPL	616.099	28.902	0.052	0.055	NA	NA
TEK	DEL	616.099	25.431	0.061	0.064	NA	NA
CACNA1H	DEL	616.099	4.135	0.034	0.043	NA	NA
CDKN2B	DEL	616.099	169.776	0.384	0.448	NA	NA
ELAVL2	DEL	29.807	18.706	0.088	0.143	NA	NA
SNRPE	AMPL	29.807	9.483	0.027	0.030	NA	NA
SEC61G	AMPL	14.808	60.025	0.177	0.317	NA	NA
CHI3L1	AMPL	12.052	3.283	0.009	0.012	NA	NA
