GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACTG2	MUT	1261.068	4.805	0.006	0.006	NA	NA
CDK4	AMPL	1261.068	64.369	0.113	0.116	NA	NA
LAMA5	MUT	1261.068	11.584	0.015	0.015	NA	NA
MAPK3	MUT	1261.068	3.845	0.003	0.003	NA	NA
PIK3CA	MUT	1261.068	54.815	0.091	0.091	NA	NA
TP53	MUT	1261.068	159.660	0.284	0.284	NA	NA
PIP4K2C	AMPL	1261.068	9.208	0.021	0.076	NA	NA
NOS1	MUT	1261.068	12.139	0.018	0.018	NA	NA
PDGFRA	AMPL	1261.068	17.281	0.034	0.055	NA	NA
GLI1	AMPL	1261.068	40.388	0.064	0.064	NA	NA
PDYN	MUT	1261.068	5.735	0.009	0.009	NA	NA
PLCE1	MUT	1261.068	10.939	0.015	0.018	NA	NA
CTDSP2	AMPL	1261.068	6.833	0.012	0.095	NA	NA
KIF5A	AMPL	1261.068	19.046	0.055	0.064	NA	NA
