GENE	TYPE	SAMPLE_ID	MODULE
CDKN2A	DRIVER	0	0
CDKN2B	DRIVER	0	0
NF1	DRIVER	0	0
PTEN	DRIVER	0	0
TP53	DRIVER	0	0
AGT	PHENOTYPE	0	0
AMPH	PHENOTYPE	0	0
ANK3	PHENOTYPE	0	0
ANXA1	PHENOTYPE	0	0
ANXA2	PHENOTYPE	0	0
APBA2	PHENOTYPE	0	0
APC	PHENOTYPE	0	0
CASP1	PHENOTYPE	0	0
CASP4	PHENOTYPE	0	0
CAV1	PHENOTYPE	0	0
CCNB1	PHENOTYPE	0	0
CD44	PHENOTYPE	0	0
CDK5	PHENOTYPE	0	0
CLDN7	PHENOTYPE	0	0
CNTN1	PHENOTYPE	0	0
COL1A2	PHENOTYPE	0	0
COL3A1	PHENOTYPE	0	0
COL5A2	PHENOTYPE	0	0
COL6A3	PHENOTYPE	0	0
CTNNA2	PHENOTYPE	0	0
DLG2	PHENOTYPE	0	0
DNM1	PHENOTYPE	0	0
EEF1A2	PHENOTYPE	0	0
EZH2	PHENOTYPE	0	0
GABARAPL2	PHENOTYPE	0	0
GABBR1	PHENOTYPE	0	0
GABBR2	PHENOTYPE	0	0
GABRA1	PHENOTYPE	0	0
GABRA2	PHENOTYPE	0	0
GABRB1	PHENOTYPE	0	0
GABRG2	PHENOTYPE	0	0
GDI1	PHENOTYPE	0	0
GNA15	PHENOTYPE	0	0
GNAZ	PHENOTYPE	0	0
GRIA2	PHENOTYPE	0	0
HABP4	PHENOTYPE	0	0
HLA-DMA	PHENOTYPE	0	0
HLA-DPB1	PHENOTYPE	0	0
HLA-DQB1	PHENOTYPE	0	0
HLA-DRA	PHENOTYPE	0	0
HLF	PHENOTYPE	0	0
ID2	PHENOTYPE	0	0
IFI16	PHENOTYPE	0	0
IGFBP3	PHENOTYPE	0	0
KLF6	PHENOTYPE	0	0
MAGI2	PHENOTYPE	0	0
MVP	PHENOTYPE	0	0
MYBPC1	PHENOTYPE	0	0
MYC	PHENOTYPE	0	0
NCOA1	PHENOTYPE	0	0
NFASC	PHENOTYPE	0	0
NRCAM	PHENOTYPE	0	0
NSF	PHENOTYPE	0	0
PCNA	PHENOTYPE	0	0
PEG3	PHENOTYPE	0	0
PERP	PHENOTYPE	0	0
PI4KA	PHENOTYPE	0	0
PPP1R1A	PHENOTYPE	0	0
PRKAR2B	PHENOTYPE	0	0
PSMB9	PHENOTYPE	0	0
PTPRC	PHENOTYPE	0	0
RAB15	PHENOTYPE	0	0
RAB3A	PHENOTYPE	0	0
RIMS2	PHENOTYPE	0	0
RPH3A	PHENOTYPE	0	0
RRM2	PHENOTYPE	0	0
S100A1	PHENOTYPE	0	0
S100A10	PHENOTYPE	0	0
S100A11	PHENOTYPE	0	0
S100A4	PHENOTYPE	0	0
S100A6	PHENOTYPE	0	0
S100A8	PHENOTYPE	0	0
S100A9	PHENOTYPE	0	0
SERPINB5	PHENOTYPE	0	0
SERPINE1	PHENOTYPE	0	0
