L	D	F	JS Divergence
16	60	1.0	0.04780
16	60	1.5	0.05717
16	60	2.0	0.08112
16	60	2.5	0.04852
16	65	1.0	0.05130
16	65	1.5	0.05150
16	65	2.0	0.07523
16	65	2.5	0.05328
16	70	1.0	0.05381
16	70	1.5	0.05417
16	70	2.0	0.07858
16	70	2.5	0.05561
18	60	1.0	0.04783
18	60	1.5	0.05756
18	60	2.0	0.08048
18	60	2.5	0.04861
18	65	1.0	0.05240
18	65	1.5	0.05368
18	65	2.0	0.07861
18	65	2.5	0.05368
18	70	1.0	0.05297
18	70	1.5	0.05349
18	70	2.0	0.07327
18	70	2.5	0.05797
20	60	1.0	0.04684
20	60	1.5	0.05447
20	60	2.0	0.08385
20	60	2.5	0.04909
20	65	1.0	0.05172
20	65	1.5	0.05483
20	65	2.0	0.07535
20	65	2.5	0.05430
20	70	1.0	0.05379
20	70	1.5	0.05571
20	70	2.0	0.07575
20	70	2.5	0.05683
20	70	3.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
0	0	0.0	0.00000
