sample_id	gene_symbol	type
0	CDKN2A	MUTATED
0	HDAC1	EXPLAINED
0	MYC	EXPLAINED
0	PIK3R1	EXPLAINED
0	CDKN2B	MUTATED
0	MYC	EXPLAINED
0	JARID1D	MUTATED
0	NF1	MUTATED
0	APC	EXPLAINED
0	CD44	EXPLAINED
0	CDH3	EXPLAINED
0	CDK5	EXPLAINED
0	CNKSR2	EXPLAINED
0	COL1A1	EXPLAINED
0	COL1A2	EXPLAINED
0	COL3A1	EXPLAINED
0	COL5A1	EXPLAINED
0	COL5A2	EXPLAINED
0	COL6A2	EXPLAINED
0	COL6A3	EXPLAINED
0	CTNNA2	EXPLAINED
0	DLG2	EXPLAINED
0	ECT2	EXPLAINED
0	EFNA1	EXPLAINED
0	EFNB2	EXPLAINED
0	EPHA4	EXPLAINED
0	EPHB6	EXPLAINED
0	GNAI1	EXPLAINED
0	HCK	EXPLAINED
0	IGFBP3	EXPLAINED
0	JUP	EXPLAINED
0	LAMB1	EXPLAINED
0	LAMB3	EXPLAINED
0	MAPK10	EXPLAINED
0	MMP1	EXPLAINED
0	MMP12	EXPLAINED
0	MMP2	EXPLAINED
0	MMP9	EXPLAINED
0	MRAS	EXPLAINED
0	MYC	EXPLAINED
0	PIK3R1	EXPLAINED
0	PTPRC	EXPLAINED
0	RACGAP1	EXPLAINED
0	RALA	EXPLAINED
0	RAP2A	EXPLAINED
0	RAPGEF2	EXPLAINED
0	RAPGEF4	EXPLAINED
0	RAPGEF5	EXPLAINED
0	RGL1	EXPLAINED
0	RIT2	EXPLAINED
0	RRAS	EXPLAINED
0	RUNDC3A	EXPLAINED
0	TIAM1	EXPLAINED
0	TIMP1	EXPLAINED
0	PTEN	MUTATED
0	AGT	EXPLAINED
0	AMPH	EXPLAINED
0	ANK2	EXPLAINED
0	ANK3	EXPLAINED
0	ANXA1	EXPLAINED
0	ANXA2	EXPLAINED
0	APBA2	EXPLAINED
0	BIN1	EXPLAINED
0	CABP1	EXPLAINED
0	CALM1	EXPLAINED
0	CAMK2B	EXPLAINED
0	CAMK2G	EXPLAINED
0	CAV1	EXPLAINED
0	CBLC	EXPLAINED
0	CCNB1	EXPLAINED
0	CDK5	EXPLAINED
0	CDK5R1	EXPLAINED
0	CHL1	EXPLAINED
0	CNTN1	EXPLAINED
0	CNTNAP1	EXPLAINED
0	CSTA	EXPLAINED
0	CTNND2	EXPLAINED
0	DNAJC6	EXPLAINED
0	DNM1	EXPLAINED
0	DSP	EXPLAINED
0	FKBP1B	EXPLAINED
0	GABARAPL2	EXPLAINED
0	GABBR1	EXPLAINED
0	GABBR2	EXPLAINED
0	GABRA1	EXPLAINED
0	GABRA2	EXPLAINED
0	GABRB1	EXPLAINED
0	GABRG2	EXPLAINED
0	GCH1	EXPLAINED
0	GDI1	EXPLAINED
0	GNA15	EXPLAINED
0	GPM6B	EXPLAINED
0	GRIA2	EXPLAINED
0	GRIA3	EXPLAINED
0	HCK	EXPLAINED
0	HDAC1	EXPLAINED
0	HLF	EXPLAINED
0	ITPKA	EXPLAINED
0	ITPKB	EXPLAINED
0	ITPR1	EXPLAINED
0	LHX2	EXPLAINED
0	LHX6	EXPLAINED
0	LMO3	EXPLAINED
0	MAGI2	EXPLAINED
0	MAP1B	EXPLAINED
0	MAP2	EXPLAINED
0	MAPK10	EXPLAINED
0	MAPT	EXPLAINED
0	MEF2C	EXPLAINED
0	MEIS2	EXPLAINED
0	MLPH	EXPLAINED
0	MVP	EXPLAINED
0	MYBPC1	EXPLAINED
0	MYC	EXPLAINED
0	NEFH	EXPLAINED
0	NEFL	EXPLAINED
0	NEFM	EXPLAINED
0	NFASC	EXPLAINED
0	NLGN1	EXPLAINED
0	NRCAM	EXPLAINED
0	NRXN1	EXPLAINED
0	NRXN2	EXPLAINED
0	NRXN3	EXPLAINED
0	NSF	EXPLAINED
0	PAX6	EXPLAINED
0	PDZD2	EXPLAINED
0	PI4KA	EXPLAINED
0	PIK3R1	EXPLAINED
0	PPP1R1A	EXPLAINED
0	PPP3CA	EXPLAINED
0	PPP3R1	EXPLAINED
0	PRKACB	EXPLAINED
0	PRSS3	EXPLAINED
0	PTPN6	EXPLAINED
0	PTPRZ1	EXPLAINED
0	RAB11FIP2	EXPLAINED
0	RAB15	EXPLAINED
0	RAB25	EXPLAINED
0	RAB27A	EXPLAINED
0	RAB3A	EXPLAINED
0	RAB6B	EXPLAINED
0	RIMS2	EXPLAINED
0	RPH3A	EXPLAINED
0	RYR2	EXPLAINED
0	RYR3	EXPLAINED
0	S100A1	EXPLAINED
0	S100A10	EXPLAINED
0	S100A11	EXPLAINED
0	S100A4	EXPLAINED
0	S100A6	EXPLAINED
0	S100A8	EXPLAINED
0	S100A9	EXPLAINED
0	S100B	EXPLAINED
0	S100P	EXPLAINED
0	SERPINA1	EXPLAINED
0	SH3GL2	EXPLAINED
0	SLC17A7	EXPLAINED
0	SLC6A1	EXPLAINED
0	SNAI2	EXPLAINED
0	SNAP25	EXPLAINED
0	SPRY2	EXPLAINED
0	STX1A	EXPLAINED
0	STXBP1	EXPLAINED
0	SYN1	EXPLAINED
0	SYN2	EXPLAINED
0	SYNJ1	EXPLAINED
0	SYT1	EXPLAINED
0	TF	EXPLAINED
0	TGIF1	EXPLAINED
0	TMOD1	EXPLAINED
0	VAMP8	EXPLAINED
0	YWHAH	EXPLAINED
0	TP53	MUTATED
0	AGT	EXPLAINED
0	AMPH	EXPLAINED
0	ANK2	EXPLAINED
0	ANK3	EXPLAINED
0	ANXA1	EXPLAINED
0	ANXA2	EXPLAINED
0	APBA2	EXPLAINED
0	APC	EXPLAINED
0	BCL2A1	EXPLAINED
0	BIN1	EXPLAINED
0	BIRC3	EXPLAINED
0	C1QA	EXPLAINED
0	C1QB	EXPLAINED
0	C1S	EXPLAINED
0	C2	EXPLAINED
0	C5AR1	EXPLAINED
0	CABP1	EXPLAINED
0	CALM1	EXPLAINED
0	CAMK2B	EXPLAINED
0	CAMK2G	EXPLAINED
0	CASP1	EXPLAINED
0	CASP4	EXPLAINED
0	CAV1	EXPLAINED
0	CBLC	EXPLAINED
0	CCL18	EXPLAINED
0	CCL5	EXPLAINED
0	CCNB1	EXPLAINED
0	CCR5	EXPLAINED
0	CD2	EXPLAINED
0	CD3D	EXPLAINED
0	CD44	EXPLAINED
0	CD48	EXPLAINED
0	CD52	EXPLAINED
0	CDH3	EXPLAINED
0	CDK5	EXPLAINED
0	CDK5R1	EXPLAINED
0	CHL1	EXPLAINED
0	CLDN7	EXPLAINED
0	CLEC10A	EXPLAINED
0	CNKSR2	EXPLAINED
0	CNTN1	EXPLAINED
0	CNTNAP1	EXPLAINED
0	COL1A1	EXPLAINED
0	COL1A2	EXPLAINED
0	COL3A1	EXPLAINED
0	COL5A1	EXPLAINED
0	COL5A2	EXPLAINED
0	COL6A2	EXPLAINED
0	COL6A3	EXPLAINED
0	CSF2RB	EXPLAINED
0	CSTA	EXPLAINED
0	CTNNA2	EXPLAINED
0	CTNND2	EXPLAINED
0	CTSD	EXPLAINED
0	CTSS	EXPLAINED
0	CXCL10	EXPLAINED
0	CXCL9	EXPLAINED
0	CXCR4	EXPLAINED
0	DLG2	EXPLAINED
0	DNAJC6	EXPLAINED
0	DNM1	EXPLAINED
0	DSP	EXPLAINED
0	ECT2	EXPLAINED
0	EEF1A2	EXPLAINED
0	EFNA1	EXPLAINED
0	EFNB2	EXPLAINED
0	EPHA4	EXPLAINED
0	EPHB6	EXPLAINED
0	EZH2	EXPLAINED
0	FCGR2B	EXPLAINED
0	FKBP1B	EXPLAINED
0	GABARAPL2	EXPLAINED
0	GABBR1	EXPLAINED
0	GABBR2	EXPLAINED
0	GABRA1	EXPLAINED
0	GABRA2	EXPLAINED
0	GABRB1	EXPLAINED
0	GABRG2	EXPLAINED
0	GCH1	EXPLAINED
0	GDI1	EXPLAINED
0	GNA15	EXPLAINED
0	GNAI1	EXPLAINED
0	GNAO1	EXPLAINED
0	GNAZ	EXPLAINED
0	GNG3	EXPLAINED
0	GPM6B	EXPLAINED
0	GRIA2	EXPLAINED
0	GRIA3	EXPLAINED
0	GZMA	EXPLAINED
0	GZMB	EXPLAINED
0	HABP4	EXPLAINED
0	HCK	EXPLAINED
0	HDAC1	EXPLAINED
0	HLA-DMA	EXPLAINED
0	HLA-DPB1	EXPLAINED
0	HLA-DQB1	EXPLAINED
0	HLA-DRA	EXPLAINED
0	HLF	EXPLAINED
0	ID2	EXPLAINED
0	IFI16	EXPLAINED
0	IGFBP3	EXPLAINED
0	IGHM	EXPLAINED
0	IGKC	EXPLAINED
0	IGKV1-5	EXPLAINED
0	IGLV2-14	EXPLAINED
0	IGLV3-25	EXPLAINED
0	IL10RA	EXPLAINED
0	IL2RG	EXPLAINED
0	IL7R	EXPLAINED
0	ISG20	EXPLAINED
0	ITGB2	EXPLAINED
0	ITPKA	EXPLAINED
0	ITPKB	EXPLAINED
0	ITPR1	EXPLAINED
0	JUP	EXPLAINED
0	KLF6	EXPLAINED
0	LAMB1	EXPLAINED
0	LAMB3	EXPLAINED
0	LHX2	EXPLAINED
0	LHX6	EXPLAINED
0	LMO3	EXPLAINED
0	MAP1B	EXPLAINED
0	MAP2	EXPLAINED
0	MAP2K4	EXPLAINED
0	MAPK10	EXPLAINED
0	MAPT	EXPLAINED
0	MEF2C	EXPLAINED
0	MEIS2	EXPLAINED
0	MLPH	EXPLAINED
0	MMP1	EXPLAINED
0	MMP12	EXPLAINED
0	MMP2	EXPLAINED
0	MMP9	EXPLAINED
0	MRAS	EXPLAINED
0	MYBPC1	EXPLAINED
0	MYC	EXPLAINED
0	NCOA1	EXPLAINED
0	NEFH	EXPLAINED
0	NEFL	EXPLAINED
0	NEFM	EXPLAINED
0	NFASC	EXPLAINED
0	NLGN1	EXPLAINED
0	NNMT	EXPLAINED
0	NRCAM	EXPLAINED
0	NRXN1	EXPLAINED
0	NRXN2	EXPLAINED
0	NRXN3	EXPLAINED
0	NSF	EXPLAINED
0	PAX6	EXPLAINED
0	PCNA	EXPLAINED
0	PDZD2	EXPLAINED
0	PEG3	EXPLAINED
0	PERP	EXPLAINED
0	PI4KA	EXPLAINED
0	PIK3R1	EXPLAINED
0	PLAUR	EXPLAINED
0	PPP1R13L	EXPLAINED
0	PPP1R1A	EXPLAINED
0	PPP3CA	EXPLAINED
0	PPP3R1	EXPLAINED
0	PRF1	EXPLAINED
0	PRKACB	EXPLAINED
0	PRKAR2B	EXPLAINED
0	PRSS3	EXPLAINED
0	PSMB9	EXPLAINED
0	PTPN6	EXPLAINED
0	PTPRC	EXPLAINED
0	PTPRZ1	EXPLAINED
0	RAB11FIP2	EXPLAINED
0	RAB15	EXPLAINED
0	RAB25	EXPLAINED
0	RAB27A	EXPLAINED
0	RAB3A	EXPLAINED
0	RAB6B	EXPLAINED
0	RACGAP1	EXPLAINED
0	RALA	EXPLAINED
0	RAP2A	EXPLAINED
0	RAPGEF2	EXPLAINED
0	RAPGEF4	EXPLAINED
0	RAPGEF5	EXPLAINED
0	RGL1	EXPLAINED
0	RIMS2	EXPLAINED
0	RIT2	EXPLAINED
0	RPH3A	EXPLAINED
0	RRAS	EXPLAINED
0	RRM2	EXPLAINED
0	RUNDC3A	EXPLAINED
0	RYR2	EXPLAINED
0	RYR3	EXPLAINED
0	S100A1	EXPLAINED
0	S100A10	EXPLAINED
0	S100A11	EXPLAINED
0	S100A4	EXPLAINED
0	S100A6	EXPLAINED
0	S100A8	EXPLAINED
0	S100A9	EXPLAINED
0	S100B	EXPLAINED
0	S100P	EXPLAINED
0	SERPINA1	EXPLAINED
0	SERPINB5	EXPLAINED
0	SERPINE1	EXPLAINED
0	SERPING1	EXPLAINED
0	SFN	EXPLAINED
0	SH3GL2	EXPLAINED
0	SLC17A7	EXPLAINED
0	SLC6A1	EXPLAINED
0	SNAI2	EXPLAINED
0	SNAP25	EXPLAINED
0	SPRY2	EXPLAINED
0	STX1A	EXPLAINED
0	STXBP1	EXPLAINED
0	SYN1	EXPLAINED
0	SYN2	EXPLAINED
0	SYNJ1	EXPLAINED
0	SYT1	EXPLAINED
0	TACSTD1	EXPLAINED
0	TAP1	EXPLAINED
0	TF	EXPLAINED
0	TGIF1	EXPLAINED
0	TIAM1	EXPLAINED
0	TIMP1	EXPLAINED
0	TMOD1	EXPLAINED
0	TNFRSF1A	EXPLAINED
0	TOP2A	EXPLAINED
0	TYMS	EXPLAINED
0	VAMP8	EXPLAINED
0	YWHAH	EXPLAINED
0	TRGV3	MUTATED
0	ZNF431	MUTATED
0	ZNF415	EXPLAINED
0	ZNF91	EXPLAINED
1	AGT	MUTATED
1	AMPH	EXPLAINED
1	ANK2	EXPLAINED
1	ANXA1	EXPLAINED
1	ANXA2	EXPLAINED
1	APBA2	EXPLAINED
1	CABP1	EXPLAINED
1	CALM1	EXPLAINED
1	CAMK2B	EXPLAINED
1	CAMK2G	EXPLAINED
1	CAV1	EXPLAINED
1	CCL11	EXPLAINED
1	CCNB1	EXPLAINED
1	CCR5	EXPLAINED
1	CDC2	EXPLAINED
1	CDK5	EXPLAINED
1	CDK5R1	EXPLAINED
1	CDK5R2	EXPLAINED
1	CHL1	EXPLAINED
1	CXCR4	EXPLAINED
1	DNAJC6	EXPLAINED
1	DNM1	EXPLAINED
1	GABBR1	EXPLAINED
1	GABBR2	EXPLAINED
1	GABRA1	EXPLAINED
1	GABRA2	EXPLAINED
1	GABRB1	EXPLAINED
1	GABRG2	EXPLAINED
