GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ACAN	MUT	394.005	3.448	0.012	0.012	NA	NA
EGFR	MUT	394.005	155.506	0.393	0.393	NA	NA
PIK3R1	MUT	394.005	39.522	0.091	0.091	NA	NA
LAMB1	MUT	394.005	6.767	0.015	0.015	NA	NA
SEC61G	AMPL	394.005	42.745	0.088	0.317	NA	NA
CDKN2A	DEL	394.005	131.575	0.448	0.470	NA	NA
CDKN2B	DEL	394.005	113.020	0.381	0.448	NA	NA
RBMX	MUT	14.461	0.044	0.003	0.009	NA	NA
PCDHA10	DEL	9.457	0.307	0.024	0.024	NA	NA
GRIN2A	MUT	9.320	7.226	0.024	0.024	NA	NA
