SAMPLE_ID	DRIVER	IMPACT_SCORE	IS_DEREGULATED	MODULE_SIZE	NUM_DRIVERS
0	CDKN2A	399.041	0	99	4
0	NF1	399.041	0	99	4
0	PTEN	399.041	0	99	4
0	TP53	399.041	0	99	4
1	AKAP6	6.850	0	2	1
1	CDK4	502.991	1	124	6
1	EGFR	502.991	0	124	6
1	PIK3R1	502.991	1	124	6
1	TP53	502.991	0	124	6
1	HLA-DRB1	502.991	1	124	6
1	DCTN2	502.991	0	124	6
2	ACTB	651.094	0	154	17
2	AMPH	651.094	1	154	17
2	EGFR	651.094	0	154	17
2	GLI3	651.094	0	154	17
2	HNRNPA2B1	651.094	0	154	17
2	ITGB8	651.094	0	154	17
2	PIK3C2B	651.094	0	154	17
2	PPIA	651.094	0	154	17
2	PSMA2	651.094	0	154	17
2	PTEN	651.094	0	154	17
2	RAC1	651.094	0	154	17
2	RB1	651.094	0	154	17
2	SEC61G	651.094	0	154	17
2	IGFBP3	651.094	0	154	17
2	STK17A	651.094	0	154	17
2	IKZF1	651.094	0	154	17
2	ADCYAP1R1	651.094	0	154	17
2	AQP1	3.948	0	1	1
2	PHKG1	13.865	0	3	1
2	PRKAR1B	21.593	0	4	1
2	TAX1BP1	2.545	0	1	1
3	CD3G	862.472	0	217	3
3	SEC61G	862.472	0	217	3
3	CDKN2A	862.472	0	217	3
3	ELAVL2	5.598	0	1	1
3	PCDHA8	21.109	0	5	1
4	ADAM12	630.317	0	154	15
4	CFTR	630.317	0	154	15
4	EGFR	630.317	0	154	15
4	FN1	630.317	0	154	15
4	ITGB3	630.317	0	154	15
4	NF1	630.317	0	154	15
4	TNC	630.317	0	154	15
4	TP53	630.317	0	154	15
4	CDKN2A	630.317	0	154	15
4	ASPM	630.317	1	154	15
4	ATR	630.317	0	154	15
4	TSC2	630.317	0	154	15
4	MSH6	630.317	0	154	15
4	ATM	630.317	0	154	15
4	MET	630.317	0	154	15
4	DOCK1	4.295	0	1	1
4	HLA-DRB1	16.431	0	3	1
4	PCDHA10	18.249	0	4	1
5	TP53	406.338	1	94	1
6	CDKN2A	172.928	0	44	3
6	RRM2	172.928	1	44	3
6	PTEN	172.928	0	44	3
6	CEP135	20.790	1	6	1
6	FGFR2	11.082	0	3	2
6	KIT	11.082	0	3	2
6	ITGB2	5.913	0	2	1
6	NTRK1	88.853	0	21	2
6	ROCK2	88.853	0	21	2
6	PCDH11Y	10.978	0	3	1
7	ANK2	380.843	0	100	13
7	COL1A1	380.843	0	100	13
7	COL4A1	380.843	1	100	13
7	COL6A2	380.843	1	100	13
7	CTNNB1	380.843	0	100	13
7	FGFR1	380.843	0	100	13
7	ITGB3	380.843	0	100	13
7	PTEN	380.843	0	100	13
7	CDKN2A	380.843	0	100	13
7	MET	380.843	0	100	13
7	MLLT4	380.843	0	100	13
7	CDH23	380.843	0	100	13
7	VLDLR	380.843	0	100	13
8	CDKN2A	2.989	0	1	1
8	EGFR	108.342	1	29	1
8	FLNC	10.315	0	3	1
8	SFI1	11.500	0	3	1
9	EGFR	692.484	0	169	4
9	PIK3R1	692.484	1	169	4
9	SEC61G	692.484	0	169	4
9	PTEN	692.484	0	169	4
10	CDKN2A	2.962	0	1	1
10	EGFR	88.836	1	25	1
10	ELAVL2	3.009	0	1	1
11	CDKN2A	476.168	0	113	5
11	CFTR	476.168	0	113	5
11	KDR	476.168	0	113	5
