GENE	TYPE	SAMPLE_IMPACT	DATA_SET_IMPACT	DRIVER_FREQUENCY	MUTATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER
ATR	AMPL	378.758	6.210	0.018	0.018	N	NA
CDC27	MUT	378.758	1.738	0.015	0.015	N	NA
MCM6	MUT	378.758	3.174	0.009	0.009	N	NA
RB1	MUT	378.758	22.063	0.067	0.070	Y	NA
TP53	MUT	378.758	81.522	0.284	0.284	Y	NA
EGFR	AMPL_MUT	378.758	120.474	0.393	0.393	Y	NA
RYR2	MUT	378.758	8.685	0.052	0.079	N	NA
COL1A1	MUT	378.758	5.706	0.012	0.012	Y	NA
PIK3CB	AMPL	378.758	4.177	0.009	0.009	N	NA
PCDHB2	MUT	14.750	0.045	0.003	0.003	N	NA
SEC61G	AMPL	6.641	33.740	0.162	0.317	N	NA
ACTA2	DEL	3.455	8.615	0.027	0.027	N	NA
