SAMPLE_ID	DRIVER	IMPACT_SCORE	IS_DEREGULATED	MODULE_SIZE	NUM_DRIVERS
0	PTEN	449.762	0	105	2
0	TP53	449.762	0	105	2
1	AKAP6	6.850	0	2	1
1	CDK4	1016.654	1	259	5
1	TP53	1016.654	0	259	5
1	EGFR	1016.654	0	259	5
1	HLA-DRB1	1016.654	1	259	5
1	PIK3R1	1016.654	1	259	5
1	SEC61G	8.567	0	3	1
2	ACTB	886.687	0	218	8
2	EGFR	886.687	0	218	8
2	HNRNPA2B1	886.687	0	218	8
2	PSMA2	886.687	0	218	8
2	RAC1	886.687	0	218	8
2	RB1	886.687	0	218	8
2	IGFBP3	886.687	0	218	8
2	ADCYAP1R1	886.687	0	218	8
2	RALA	7.737	0	2	1
3	CDKN2A	861.755	0	214	3
3	FLI1	861.755	0	214	3
3	SEC61G	861.755	0	214	3
3	ELAVL2	5.598	0	1	1
3	PCDHA8	46.678	0	11	1
4	ASPM	703.451	1	174	6
4	ATR	703.451	0	174	6
4	TP53	703.451	0	174	6
4	EGFR	703.451	0	174	6
4	FN1	703.451	0	174	6
4	CDKN2A	703.451	0	174	6
4	DOCK1	4.295	0	1	1
4	HLA-DRB1	16.431	0	3	1
4	PCDHA10	30.640	0	8	1
5	TP53	1369.081	1	343	1
6	CDKN2A	274.248	0	68	5
6	CEP135	274.248	1	68	5
6	NTRK1	274.248	0	68	5
6	ROCK2	274.248	0	68	5
6	PTEN	274.248	0	68	5
6	FGFR2	13.690	0	4	2
6	KIT	13.690	0	4	2
6	FZD4	3.471	0	1	1
6	ITGB2	5.913	0	2	1
6	KLHL9	13.449	1	4	1
6	PCDH11Y	10.978	0	3	1
7	CDH23	417.453	0	111	10
7	CDKN2A	417.453	0	111	10
7	COL1A1	417.453	0	111	10
7	CTNNB1	417.453	0	111	10
7	FGFR1	417.453	0	111	10
7	ITGB3	417.453	0	111	10
7	CDKN2B	417.453	0	111	10
7	VLDLR	417.453	0	111	10
7	PTEN	417.453	0	111	10
7	MLLT4	417.453	0	111	10
7	KLHL9	3.370	0	1	1
8	CDKN2A	2.989	0	1	1
8	EGFR	104.333	1	28	1
8	FLNC	15.956	0	5	1
8	SFI1	11.500	0	3	1
9	EGFR	719.996	0	175	3
9	PIK3R1	719.996	1	175	3
9	PTEN	719.996	0	175	3
10	CDKN2A	2.962	0	1	1
10	EGFR	88.836	1	25	1
10	ELAVL2	3.009	0	1	1
11	CDKN2A	954.526	0	232	4
11	KDR	954.526	0	232	4
11	TP53	954.526	0	232	4
11	ING3	954.526	0	232	4
12	PCDH11Y	26.555	0	7	1
12	PRKY	377.317	0	92	4
12	PSMD13	377.317	0	92	4
12	TP53	377.317	0	92	4
12	TBL1Y	377.317	0	92	4
13	TP53	232.984	0	64	1
14	CDKN2A	347.583	0	78	2
14	PTEN	347.583	0	78	2
15	ANK1	797.722	0	202	7
15	COL6A2	797.722	0	202	7
15	EP300	797.722	0	202	7
15	HLA-DRB1	797.722	1	202	7
15	PIK3R1	797.722	0	202	7
15	SMAD4	797.722	0	202	7
15	FGFR4	797.722	0	202	7
15	KCNG1	6.273	0	2	1
16	FGFR2	682.349	0	169	4
16	PIK3CA	682.349	0	169	4
16	RB1	682.349	0	169	4
16	TP53	682.349	0	169	4
16	ITGA7	20.261	0	5	1
17	HLA-DRB1	22.237	0	5	1
17	PCDH11Y	25.816	0	6	1
17	PRKY	464.012	0	114	2
17	TP53	464.012	0	114	2
17	TBL1Y	6.178	0	2	1
18	EGFR	824.609	0	203	2
18	PTEN	824.609	1	203	2
19	CD3G	873.697	0	212	6
19	CHEK1	873.697	0	212	6
19	COL1A1	873.697	1	212	6
19	EGFR	873.697	0	212	6
19	NTRK3	873.697	1	212	6
19	CDKN2A	873.697	0	212	6
19	MYST4	2.770	0	1	1
20	CD3G	640.323	0	157	6
20	CDK4	640.323	1	157	6
20	EGFR	640.323	0	157	6
20	PRKY	640.323	0	157	6
