GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
EGFR	0.393	0.262	0.000	0.241	Y	NA	120.1447552328	0.393	0.262	0.000	0.241
CDKN2A	0.412	0.012	0.399	0.000	Y	NA	92.8867320454	0.470	0.015	0.454	0.000
TP53	0.284	0.280	0.003	0.000	Y	NA	82.2620589142	0.284	0.280	0.003	0.000
PTEN	0.235	0.213	0.021	0.000	Y	NA	56.5990608843	0.314	0.290	0.024	0.000
HLA-DRB1	0.165	0.000	0.006	0.159	N	NA	34.4212835633	0.189	0.000	0.006	0.183
CDK4	0.110	0.000	0.000	0.110	Y	NA	32.5664804921	0.116	0.000	0.000	0.116
PIK3CA	0.091	0.088	0.000	0.003	Y	NA	29.4945843509	0.091	0.088	0.000	0.003
PRKY	0.159	0.000	0.159	0.000	N	NA	28.2444860867	0.195	0.000	0.195	0.000
PIK3R1	0.091	0.088	0.006	0.000	Y	NA	26.6842455156	0.091	0.088	0.006	0.000
COL1A2	0.043	0.027	0.000	0.015	N	NA	14.0245983174	0.043	0.027	0.000	0.015
RB1	0.040	0.034	0.009	0.000	Y	NA	11.9896007229	0.070	0.064	0.009	0.000
KIT	0.052	0.006	0.000	0.046	Y	NA	9.2256853052	0.076	0.012	0.000	0.064
PDGFRA	0.037	0.027	0.000	0.015	Y	NA	8.5868812165	0.055	0.040	0.000	0.024
CDKN2B	0.043	0.000	0.043	0.000	N	NA	8.3702174473	0.448	0.003	0.445	0.000
PIK3CG	0.024	0.018	0.000	0.006	N	NA	7.8517028331	0.037	0.027	0.000	0.009
PSMA2	0.015	0.000	0.000	0.015	N	NA	6.5077049406	0.015	0.000	0.000	0.015
LAMA1	0.018	0.018	0.000	0.000	N	NA	6.4568173828	0.018	0.018	0.000	0.000
LAMA5	0.015	0.015	0.000	0.000	N	NA	6.0810185529	0.015	0.015	0.000	0.000
SEC61G	0.104	0.000	0.000	0.104	N	NA	5.9321643076	0.317	0.000	0.000	0.317
LAMB4	0.018	0.012	0.000	0.006	N	NA	5.7954298438	0.018	0.012	0.000	0.006
FN1	0.015	0.015	0.000	0.000	N	NA	5.7942871931	0.018	0.018	0.000	0.000
TBL1Y	0.021	0.000	0.021	0.000	N	NA	5.1426520082	0.195	0.000	0.195	0.000
GRIN2A	0.024	0.024	0.000	0.000	N	NA	4.7931595032	0.024	0.024	0.000	0.000
GLI1	0.021	0.003	0.000	0.018	N	NA	4.6916059936	0.064	0.009	0.003	0.052
VAV1	0.009	0.009	0.000	0.000	N	NA	4.6564200984	0.009	0.009	0.000	0.000
COL1A1	0.012	0.012	0.000	0.000	Y	NA	4.6443077139	0.012	0.012	0.000	0.000
CCT6A	0.055	0.000	0.000	0.055	N	NA	4.5144618484	0.082	0.000	0.000	0.082
PIK3C2G	0.018	0.018	0.000	0.000	N	NA	4.4942497093	0.027	0.024	0.003	0.000
EPC1	0.015	0.003	0.009	0.003	N	NA	4.2577025972	0.018	0.003	0.012	0.003
DCTN2	0.027	0.003	0.000	0.027	N	NA	3.9864454833	0.064	0.003	0.003	0.061
ITGB1	0.012	0.003	0.006	0.003	N	NA	3.9458301887	0.018	0.003	0.012	0.003
CD3G	0.018	0.003	0.003	0.012	N	NA	3.8677632714	0.030	0.003	0.003	0.024
IFNG	0.012	0.000	0.000	0.012	N	NA	3.8381973447	0.034	0.006	0.009	0.018
LAMC3	0.015	0.015	0.000	0.000	N	NA	3.7263215556	0.015	0.015	0.000	0.000
CDK6	0.012	0.000	0.000	0.012	Y	NA	3.6427778616	0.018	0.000	0.000	0.018
RIMS2	0.015	0.015	0.000	0.000	N	NA	3.6423240802	0.034	0.034	0.000	0.000
LAMA3	0.012	0.012	0.000	0.000	N	NA	3.5858400489	0.012	0.012	0.000	0.000
LRP1	0.012	0.006	0.006	0.000	N	NA	3.5205698385	0.034	0.018	0.006	0.009
