SAMPLE_ID	DRIVER	IMPACT_SCORE	IS_DEREGULATED	MODULE_SIZE	NUM_DRIVERS_IN_MODULE
TCGA-02-0001IN	CDKN2A	411.922	0	103	5
TCGA-02-0001IN	CDKN2B	411.922	0	103	5
TCGA-02-0001IN	NF1	411.922	0	103	5
TCGA-02-0001IN	PTEN	411.922	0	103	5
TCGA-02-0001IN	TP53	411.922	0	103	5
TCGA-02-0003	AKAP6	3.018	0	1	1
TCGA-02-0003	CDK4	916.946	1	236	5
TCGA-02-0003	EGFR	916.946	0	236	5
TCGA-02-0003	PIK3R1	916.946	1	236	5
TCGA-02-0003	TP53	916.946	0	236	5
TCGA-02-0003	HLA-DRB1	916.946	1	236	5
TCGA-02-0007	ACTB	656.200	0	154	17
TCGA-02-0007	AMPH	656.200	1	154	17
TCGA-02-0007	EGFR	656.200	0	154	17
TCGA-02-0007	GLI3	656.200	0	154	17
TCGA-02-0007	HNRNPA2B1	656.200	0	154	17
TCGA-02-0007	ITGB8	656.200	0	154	17
TCGA-02-0007	PIK3C2B	656.200	0	154	17
TCGA-02-0007	PPIA	656.200	0	154	17
TCGA-02-0007	PSMA2	656.200	0	154	17
TCGA-02-0007	PTEN	656.200	0	154	17
TCGA-02-0007	RAC1	656.200	0	154	17
TCGA-02-0007	RB1	656.200	0	154	17
TCGA-02-0007	SEC61G	656.200	0	154	17
TCGA-02-0007	IGFBP3	656.200	0	154	17
TCGA-02-0007	STK17A	656.200	0	154	17
TCGA-02-0007	IKZF1	656.200	0	154	17
TCGA-02-0007	ADCYAP1R1	656.200	0	154	17
TCGA-02-0007	AQP1	3.948	0	1	1
TCGA-02-0007	TAX1BP1	2.545	0	1	1
TCGA-02-0009	CD3G	877.333	0	218	6
TCGA-02-0009	FLI1	877.333	0	218	6
TCGA-02-0009	SEC61G	877.333	0	218	6
TCGA-02-0009	CDKN2A	877.333	0	218	6
TCGA-02-0009	CDKN2B	877.333	0	218	6
TCGA-02-0009	PCDHA8	877.333	0	218	6
TCGA-02-0009	ELAVL2	5.598	0	1	1
TCGA-02-0010	ADAM12	718.223	0	176	15
TCGA-02-0010	EGFR	718.223	0	176	15
TCGA-02-0010	FN1	718.223	0	176	15
TCGA-02-0010	ITGB3	718.223	0	176	15
TCGA-02-0010	NF1	718.223	0	176	15
TCGA-02-0010	TP53	718.223	0	176	15
TCGA-02-0010	CDKN2A	718.223	0	176	15
TCGA-02-0010	ASPM	718.223	1	176	15
TCGA-02-0010	ATR	718.223	0	176	15
TCGA-02-0010	ING3	718.223	0	176	15
TCGA-02-0010	TSC2	718.223	0	176	15
TCGA-02-0010	MSH6	718.223	0	176	15
TCGA-02-0010	ATM	718.223	0	176	15
TCGA-02-0010	MET	718.223	0	176	15
TCGA-02-0010	PCDHA10	718.223	0	176	15
TCGA-02-0010	DOCK1	4.295	0	1	1
TCGA-02-0010	HLA-DRB1	16.431	0	3	1
