Gene_Symbol	Cancer_Gene_Census	MuSIC	OncodriveFM	OncodriveCLUST	ActiveDriver	MutSig	Putative_Driver_Category
AARS2						Selected	High_Confidence_Driver
ABCB1		Selected	Selected			Selected	High_Confidence_Driver
ABL1	CGC				Selected		High_Confidence_Driver
ACVR1B		Selected	Selected				High_Confidence_Driver
ADAM10			Selected				High_Confidence_Driver
ADCY1		Selected					High_Confidence_Driver
ADORA2A		Selected					High_Confidence_Driver
AHNAK2		Selected			Selected		High_Confidence_Driver
AJUBA		Selected	Selected				High_Confidence_Driver
AKAP9	CGC		Selected			Selected	High_Confidence_Driver
AKD1						Selected	High_Confidence_Driver
AKT1	CGC	Selected	Selected	Selected		Selected	High_Confidence_Driver
AMPH		Selected					High_Confidence_Driver
ANAPC1					Selected		High_Confidence_Driver
ANKRD12			Selected			Selected	High_Confidence_Driver
APAF1			Selected				High_Confidence_Driver
APC	CGC	Selected	Selected	Selected		Selected	High_Confidence_Driver
AR		Selected					High_Confidence_Driver
ARHGAP32					Selected		High_Confidence_Driver
ARHGAP35		Selected	Selected				High_Confidence_Driver
ARHGEF6			Selected				High_Confidence_Driver
ARID1A	CGC	Selected	Selected			Selected	High_Confidence_Driver
ARID2	CGC		Selected			Selected	High_Confidence_Driver
ARID5B		Selected	Selected				High_Confidence_Driver
ASPM		Selected			Selected		High_Confidence_Driver
ASXL1	CGC	Selected	Selected				High_Confidence_Driver
ATG13			Selected				High_Confidence_Driver
ATM	CGC	Selected	Selected			Selected	High_Confidence_Driver
ATR		Selected	Selected				High_Confidence_Driver
ATRX	CGC	Selected	Selected		Selected	Selected	High_Confidence_Driver
AXIN2		Selected	Selected				High_Confidence_Driver
B2M			Selected	Selected		Selected	High_Confidence_Driver
BAP1	CGC	Selected	Selected			Selected	High_Confidence_Driver
BARD1					Selected		High_Confidence_Driver
BCLAF1		Selected			Selected		High_Confidence_Driver
BCOR	CGC					Selected	High_Confidence_Driver
BLM	CGC		Selected			Selected	High_Confidence_Driver
BRAF	CGC	Selected		Selected	Selected	Selected	High_Confidence_Driver
BRCA1	CGC	Selected	Selected			Selected	High_Confidence_Driver
BRCA2	CGC	Selected	Selected			Selected	High_Confidence_Driver
BUB1B	CGC					Selected	High_Confidence_Driver
CAD			Selected				High_Confidence_Driver
