A1CF	MNT
A2M	RASGRF2
AAAS	FBXO45
AAG12	SMC6
AAK1	OR2B11
AARS	CCNK
AASDHPPT	PITRM1
AATF	TRIM23
AATK	ADH6
ABAT	RLBP1
ABCA1	DGKQ
ABCA2	PRDM1
ABCA4	PA2G4
ABCA7	CASP14
ABCB1	APAF1
ABCB11	ID1
ABCB4	PER1
ABCB9	F2
ABCC1	KIF23
ABCC2	ABP1
ABCC3	ANXA6
ABCC6	OR4A47
ABCC8	GUCY1B3
ABCC9	ZNF273
ABCD1	PDS5A
ABCD2	RPL14
ABCD3	TRPV1
ABCE1	DNAJB5
ABCF1	OVGP1
ABCG5	SUPT5H
ABCG8	GUCY1A3
ABHD5	GGT2
ABI1	ZNF506
ABI2	PABPN1
ABL1	TULP2
ABL2	F7
ABLIM1	TUBGCP6
ABLIM3	LAMC2
ABP1	RHOD
ABR	PIK3R3
ABT1	SEC61A1
ACAA1	GGCX
ACAA2	ZNF331
ACACA	LAMB1
ACACB	MAP4K3
ACAD8	LRP8
ACADL	HIST1H1E
ACADM	PRKAB1
ACADS	CSH1
ACADSB	ZKSCAN5
ACAN	RABEP1
ACAP1	NOTCH2NL
ACAP2	ODZ4
ACAT1	OR2G2
ACCN1	CXCL3
ACCN2	RASSF4
ACCN3	ANXA11
ACD	SPRY3
ACE	OR1S2
ACE2	IRF7
ACHE	OR10J1
ACIN1	PI3
ACLY	ZNF565
ACO1	BMF
ACO2	DDX24
ACOX1	SHROOM2
ACOX2	INSL3
ACOX3	PDPK2
ACP1	EPHA7
ACP5	FBXO7
ACR	AKAP8
ACRV1	GMCL1
ACSL1	PIK3CA
ACSL3	OR2L3
ACSL4	LCP2
ACSL5	MDH1
ACSL6	NBLA10058
ACTA1	CLCN5
ACTA2	ATP1B3
ACTB	LGI2
ACTBL2	EPHA3
ACTC1	GATA3
ACTG1	CHRNA3
ACTG2	PPP2R3A
ACTL6A	TP53RK
ACTL6B	CHP2
ACTL7A	RSBN1
ACTL7B	CSNK2A2
ACTN1	MLL3
ACTN2	MYL9
ACTN3	RPLP2
ACTN4	ETV7
ACTR10	GRM1
ACTR1A	P2RY12
ACTR1B	STAM
ACTR2	DAZ4
ACTR3	NUP54
ACTR3B	OTUB1
ACTRT1	DAXX
ACTRT2	TTF2
ACVR1	NGB
ACVR1B	CALR3
ACVR1C	ZNF497
ACVR2A	DKFZP686A06204
ACVR2B	KRT8
ACVRL1	PPBP
ACY1	NPTX1
ADA	ZNF493
