Genes	TCGA-02-0003-01A	TCGA-02-0033-01A	TCGA-02-0047-01A	TCGA-02-2470-01A	TCGA-02-2483-01A	TCGA-02-2485-01A	TCGA-02-2486-01A	TCGA-06-0122-01A	TCGA-06-0124-01A
C9orf152	0	0	0	0	0	0	0	0	0
MSRB1	0	0	0	0	0	0	0	0	0
PNCK	0	0	0	0	0	0	0	0	0
DDC8	0	0	1	0	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0
CLMP	0	0	0	0	0	0	0	0	0
CREB3L1	0	0	0	0	0	0	0	0	0
MMP2	0	0	0	0	0	0	0	0	0
HAUS2	0	0	0	0	0	0	0	0	0
FAM219A	0	0	0	0	0	0	0	0	0
LRRC37A5P	0	0	0	0	0	0	0	0	0
C10orf90	0	0	0	0	0	0	0	0	0
SMARCD3	0	0	0	0	0	0	0	0	0
TRDD2	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0
PKNOX2	0	0	0	0	0	0	0	0	0
RALYL	0	0	0	0	0	0	0	0	0
ERCC5	0	0	0	0	0	0	0	0	0
ZHX3	0	0	0	0	0	0	0	0	0
GPR98	0	0	0	0	0	0	0	0	0
USP17L20	0	0	0	0	0	0	0	0	0
C10orf25	0	0	0	0	0	0	0	0	0
BBOX1	0	0	0	0	0	0	0	0	0
XDH	0	0	0	0	0	0	0	0	0
MTERF	0	0	0	0	0	0	0	0	0
RN7SL252P	0	0	0	0	0	0	0	0	0
TRAJ42	0	0	0	0	0	0	0	0	0
PDCL3	0	0	0	0	0	0	0	0	0
RN7SKP15	0	0	0	0	0	0	0	0	0
AEN	0	0	0	0	0	0	0	0	0
CLK4	0	0	0	0	0	0	0	0	0
ZNF799	0	0	0	0	0	0	0	0	0
CXCR4	0	0	0	0	0	0	0	0	0
FRG2	0	0	0	0	0	0	0	0	0
SALL1	0	0	0	0	0	0	0	0	0
PTPRR	0	0	0	0	0	0	0	0	0
GGT3P	0	0	0	0	0	0	0	0	0
CADM4	0	0	0	0	0	0	0	0	0
IRAK1	0	0	0	0	0	0	0	0	0
CFHR5	0	0	0	0	0	0	0	0	0
SLC10A7	0	0	0	0	0	0	0	0	0
OR2K2	0	0	0	0	0	0	0	0	0
RN7SKP111	0	0	0	0	0	0	0	0	0
TMSB10	0	0	0	0	0	0	0	0	0
ESYT1	0	0	0	0	0	0	0	0	0
MIR4461	0	0	0	0	0	0	0	0	0
GP1BA	0	0	0	0	0	0	0	0	0
TMC4	0	0	0	0	0	0	0	0	0
UQCR11	0	0	0	0	0	0	0	0	0
STYK1	0	0	0	0	0	0	0	0	0
CHRNA10	0	0	0	0	-1	0	0	0	0
LINC00864	0	0	0	0	0	0	0	0	0
MYO9B	0	0	0	0	0	0	0	0	0
MMP7	0	0	0	0	0	0	0	0	0
MIR618	0	0	0	0	0	0	0	0	0
SMIM17	0	0	0	0	0	0	0	0	0
HIC2	0	0	0	0	0	0	0	0	0
TBX10	0	0	0	0	0	0	0	0	0
KCNA6	0	0	0	0	0	0	0	0	0
ZAR1L	0	0	0	0	0	0	0	0	0
DTNBP1	0	0	0	0	0	0	0	0	0
REEP6	0	0	0	0	0	0	0	0	0
TRIM74	0	0	0	0	0	0	0	0	0
ATP5G2	0	0	0	0	0	0	0	0	0
CDK14	0	0	0	0	0	0	0	0	0
SOD2	0	0	0	0	0	0	0	0	0
CYTH1	0	0	1	0	0	0	0	0	0
DIRAS1	0	0	0	0	0	0	0	0	0
MIER1	0	0	0	0	0	0	0	0	0
CHD9	0	0	0	0	0	0	0	0	0
CABS1	0	0	0	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0	0	0	0
ARID3C	0	0	0	0	0	0	0	0	0
PDE1C	0	0	0	0	0	0	0	0	0
SEMA4D	0	0	0	0	0	0	0	0	0
NOSTRIN	0	0	0	0	0	0	0	0	0
INIP	0	0	0	0	0	0	0	0	0
OR2V2	0	0	0	0	0	0	0	0	0
NINL	0	0	0	0	0	0	0	0	0
MAP3K3	0	0	1	0	0	0	0	0	0
MIR489	0	0	0	0	0	0	0	0	0
SERPINA12	0	0	0	0	0	0	0	0	0
OSBPL8	0	0	0	0	0	0	0	0	0
FER1L5	0	0	0	0	0	0	0	0	0
SPIN2B	0	0	0	0	0	0	0	0	0
PIR	0	0	0	0	0	0	0	0	0
PPCS	0	0	0	0	0	0	0	0	0
MIR550A3	0	0	0	0	0	0	0	0	0
RNA5SP509	0	0	0	0	0	0	0	0	0
EVC	0	0	0	0	0	0	0	0	0
TMEM132E	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0
FFAR3	0	0	0	0	0	0	0	0	0
FIBCD1	0	0	0	0	0	0	0	0	0
SORL1	0	0	0	0	0	0	0	0	0
C15orf41	0	0	0	0	0	0	0	0	0
SYN3	0	0	0	0	0	0	0	0	0
LINC00210	0	0	0	0	0	0	0	0	0
DMC1	0	0	0	0	0	0	0	0	0
SLC22A2	0	0	0	0	0	0	0	0	0
SERPINF1	0	0	0	0	0	0	0	0	0
WDR34	0	0	0	0	0	0	0	0	0
POTED	0	0	0	0	0	0	0	0	0
HMX1	0	0	0	0	0	0	0	0	0
FAHD1	0	0	0	0	0	0	0	0	0
EPT1	0	0	0	0	0	0	0	0	0
RNA5SP359	0	0	0	0	0	0	0	0	0
OR10X1	0	0	0	0	0	0	0	0	0
STK25	0	0	0	0	0	0	0	0	0
TAOK3	0	0	0	0	0	0	0	0	0
RNA5SP376	0	0	0	0	0	0	0	0	0
TRDJ4	0	0	0	0	0	0	0	0	0
BRCA1	0	0	0	0	0	0	0	0	0
TMEM180	0	0	0	0	0	0	0	0	0
MAP1LC3C	0	0	0	0	0	1	0	0	0
SLK	0	0	0	0	0	0	0	0	0
NOXO1	0	0	0	0	0	0	0	0	0
POU3F1	0	0	0	0	0	0	0	0	0
LINC00460	0	0	0	0	0	0	0	0	0
BAZ1B	0	0	0	0	0	0	0	0	0
