SAMPLE_ID	DRIVER	IMPACT_SCORE	IS_DEREGULATED	MODULE_SIZE	NUM_DRIVERS
0	CDKN2A	598.015	0	152	5
0	CDKN2B	598.015	0	152	5
0	NF1	598.015	0	152	5
0	PTEN	598.015	0	152	5
0	TP53	598.015	0	152	5
1	AKAP6	1049.463	0	272	9
1	CDK4	1049.463	1	272	9
1	EGFR	1049.463	0	272	9
1	PIK3R1	1049.463	1	272	9
1	TP53	1049.463	0	272	9
1	HLA-DRB1	1049.463	1	272	9
1	DCTN2	1049.463	0	272	9
1	DDIT3	1049.463	0	272	9
1	ARHGAP9	1049.463	0	272	9
1	TPM3	6.953	0	3	1
2	ACTB	1072.065	0	281	20
2	CD3G	1072.065	0	281	20
2	IGFBP3	1072.065	0	281	20
2	CAMK2B	1072.065	1	281	20
2	EGFR	1072.065	0	281	20
2	GLI3	1072.065	0	281	20
2	HNRNPA2B1	1072.065	0	281	20
2	ITGB8	1072.065	0	281	20
2	PIK3C2B	1072.065	0	281	20
2	POLD2	1072.065	0	281	20
2	PPIA	1072.065	0	281	20
2	PSMA2	1072.065	0	281	20
2	PTEN	1072.065	0	281	20
2	RAC1	1072.065	0	281	20
2	RB1	1072.065	0	281	20
2	AMPH	1072.065	1	281	20
2	TWIST1	1072.065	0	281	20
2	AHR	1072.065	1	281	20
2	IKZF1	1072.065	0	281	20
2	ADCYAP1R1	1072.065	0	281	20
2	AQP1	3.948	0	2	1
2	PRKAR1B	21.593	0	5	1
2	TAX1BP1	2.545	0	2	1
3	CD3G	796.184	0	206	5
3	FLI1	796.184	0	206	5
3	CDKN2A	796.184	0	206	5
3	CDKN2B	796.184	0	206	5
3	PCDHA8	796.184	0	206	5
3	ELAVL2	5.598	0	2	1
4	ADAM12	758.911	0	206	17
4	CFTR	758.911	0	206	17
4	EGFR	758.911	0	206	17
4	FN1	758.911	0	206	17
4	ITGB3	758.911	0	206	17
4	NF1	758.911	0	206	17
4	TP53	758.911	0	206	17
4	DOCK1	758.911	0	206	17
4	MET	758.911	0	206	17
4	CDKN2A	758.911	0	206	17
4	ASPM	758.911	1	206	17
4	ATR	758.911	0	206	17
4	PCDHA10	758.911	0	206	17
4	ING3	758.911	0	206	17
4	TSC2	758.911	0	206	17
4	MSH6	758.911	0	206	17
4	ATM	758.911	0	206	17
4	HLA-DRB1	16.431	0	4	1
5	TP53	1242.960	1	318	1
6	CDKN2A	323.036	0	89	7
6	MAPK9	323.036	0	89	7
6	NTRK1	323.036	0	89	7
6	ROCK2	323.036	0	89	7
6	PTEN	323.036	0	89	7
6	CDKN2B	323.036	0	89	7
6	CEP135	323.036	1	89	7
6	FGFR2	13.690	0	6	2
6	KIT	13.690	0	6	2
6	ITGB2	5.913	0	4	2
6	SDC1	5.913	0	4	2
6	KDR	3.995	0	2	1
6	PCDH11Y	10.978	0	4	1
7	ANK2	440.701	0	132	15
7	COL1A1	440.701	0	132	15
7	COL6A2	440.701	1	132	15
7	CTNNB1	440.701	0	132	15
7	FGFR1	440.701	0	132	15
7	ITGB3	440.701	0	132	15
7	PTEN	440.701	0	132	15
7	CDKN2A	440.701	0	132	15
7	CDH23	440.701	0	132	15
7	CDKN2B	440.701	0	132	15
7	MLLT4	440.701	0	132	15
7	MET	440.701	0	132	15
7	VLDLR	440.701	0	132	15
7	MYST4	440.701	0	132	15
7	APC	440.701	0	132	15
8	CDKN2A	2.989	0	2	1
8	EGFR	127.077	1	36	2
8	FLNC	127.077	0	36	2
8	SFI1	11.500	0	4	1
9	EGFR	822.799	0	205	3
9	PIK3R1	822.799	1	205	3
9	PTEN	822.799	0	205	3
