GENE	DRIVER_FREQUENCY	DRIVER_SNV_FREQUENCY	DRIVER_DELTION_FREQUENCY	DRIVER_AMPLIFICATION_FREQUENCY	CANCER_CENSUS	PAN_CANCER	IMPACT	MUTATION_FREQUENCY	SNV_FREQUENCY	DELTION_FREQUENCY	AMPLIFICATION_FREQUENCY
TTN	0.624	0.608	0.008	0.016	-	-	693.469242855621	0.624	0.608	0.008	0.016
TP53	0.536	0.504	0.040	0.008	CC	PC	652.236155806566	0.536	0.504	0.040	0.008
PIK3CA	0.264	0.208	0.000	0.064	CC	PC	318.202658343224	0.264	0.208	0.000	0.064
RB1	0.224	0.136	0.096	0.000	CC	PC	281.367987099385	0.224	0.136	0.096	0.000
USF1	0.192	0.000	0.000	0.192	-	-	216.292126184346	0.192	0.000	0.000	0.192
EP300	0.184	0.168	0.016	0.000	CC	PC	213.38774913921	0.184	0.168	0.016	0.000
NOTCH2	0.136	0.032	0.000	0.104	CC	-	171.404902856564	0.152	0.032	0.000	0.120
CTTN	0.136	0.016	0.000	0.128	-	PC	158.681705165723	0.136	0.016	0.000	0.128
RXRG	0.168	0.032	0.000	0.144	-	-	156.689405955113	0.168	0.032	0.000	0.144
EGFR	0.112	0.024	0.000	0.088	CC	PC	150.67245767897	0.112	0.024	0.000	0.088
CREBBP	0.160	0.128	0.040	0.000	CC	-	145.639239299665	0.176	0.128	0.056	0.000
LAMA3	0.152	0.104	0.008	0.040	-	-	144.32935209089	0.152	0.104	0.008	0.040
ARID1A	0.240	0.224	0.000	0.016	CC	PC	137.048187914098	0.288	0.256	0.016	0.016
CDKN2A	0.216	0.000	0.216	0.000	CC	PC	136.549958180275	0.416	0.056	0.360	0.000
ERBB3	0.112	0.096	0.000	0.016	-	-	133.727191036782	0.128	0.112	0.000	0.016
GLI3	0.112	0.072	0.008	0.032	-	-	127.705766115147	0.112	0.072	0.008	0.032
RXRA	0.096	0.088	0.008	0.000	-	PC	122.046562081613	0.104	0.096	0.008	0.000
PPARG	0.104	0.024	0.000	0.088	CC	-	118.627028097661	0.168	0.024	0.000	0.152
ERBB2	0.104	0.072	0.000	0.048	CC	PC	115.718411833857	0.128	0.088	0.000	0.064
RAF1	0.104	0.000	0.000	0.104	CC	-	112.206878151728	0.144	0.008	0.000	0.136
FGFR1	0.088	0.016	0.024	0.048	CC	-	111.305866690589	0.144	0.024	0.024	0.096
CALML3	0.088	0.008	0.008	0.072	-	-	97.1403139364256	0.112	0.008	0.008	0.096
FGFR3	0.080	0.056	0.000	0.048	CC	PC	89.7565288078588	0.176	0.128	0.008	0.064
RHOA	0.072	0.040	0.024	0.008	-	PC	83.7835658138629	0.072	0.040	0.024	0.008
LAMA2	0.088	0.080	0.000	0.008	-	-	82.6719343575832	0.128	0.112	0.000	0.016
GATA4	0.064	0.000	0.064	0.000	-	-	79.1247154260044	0.096	0.000	0.096	0.000
POU2F1	0.096	0.024	0.000	0.072	-	-	78.8885563587156	0.160	0.024	0.000	0.136
MYC	0.072	0.008	0.000	0.064	CC	-	70.32095002891	0.112	0.008	0.000	0.104
